Circle,State,District,Language,Default Language for Circle (Y/N),languagelocation code
UW,UTTAR PRADESH,AGRA,HINDI,Y,01
UW,UTTAR PRADESH,ALIGARH,HINDI,Y,01
UE,UTTAR PRADESH,ALLAHABAD,HINDI,Y,01
UW,UTTAR PRADESH,AMBEDHKAR NAGAR,HINDI,Y,01
UW,UTTAR PRADESH,AMROHA,HINDI,Y,01
UW,UTTAR PRADESH,AURAIYA,HINDI,Y,01
UE,UTTAR PRADESH,AZAMGARH,HINDI,Y,01
UW,UTTAR PRADESH,BADAUN,HINDI,Y,01
UW,UTTAR PRADESH,BAGHPAT,HINDI,Y,01
UE,UTTAR PRADESH,BAHRAICH,HINDI,Y,01
UE,UTTAR PRADESH,BALLIA,HINDI,Y,01
UE,UTTAR PRADESH,BALRAMPUR,HINDI,Y,01
UE,UTTAR PRADESH,BANDA,HINDI,Y,01
UE,UTTAR PRADESH,BARABANKI,HINDI,Y,01
UW,UTTAR PRADESH,BAREILLY,HINDI,Y,01
UE,UTTAR PRADESH,BASTI,HINDI,Y,01
UW,UTTAR PRADESH,BIJNOR,HINDI,Y,01
UW,UTTAR PRADESH,BULANDSHAHR,HINDI,Y,01
UE,UTTAR PRADESH,C S NAGAR,HINDI,Y,01
UE,UTTAR PRADESH,CHANDAULI,HINDI,Y,01
UE,UTTAR PRADESH,CHITRAKOOT,HINDI,Y,01
UE,UTTAR PRADESH,DEORIA,HINDI,Y,01
UW,UTTAR PRADESH,ETAH,HINDI,Y,01
UW,UTTAR PRADESH,ETAWAH,HINDI,Y,01
UE,UTTAR PRADESH,FAIZABAD,HINDI,Y,01
UE,UTTAR PRADESH,FARRUKHABAD,HINDI,Y,01
UE,UTTAR PRADESH,FATEHPUR,HINDI,Y,01
UW,UTTAR PRADESH,FIROZABAD,HINDI,Y,01
UE,UTTAR PRADESH,GAZIPUR,HINDI,Y,01
UE,UTTAR PRADESH,GB NAGAR,HINDI,Y,01
UW,UTTAR PRADESH,GHAIZABAD,HINDI,Y,01
UE,UTTAR PRADESH,GONDA,HINDI,Y,01
UE,UTTAR PRADESH,GORAKHPUR,HINDI,Y,01
UE,UTTAR PRADESH,HAMIRPUR,HINDI,Y,01
UW,UTTAR PRADESH,HAPUR,HINDI,Y,01
UE,UTTAR PRADESH,HARDOI,HINDI,Y,01
UW,UTTAR PRADESH,HATHRAS,HINDI,Y,01
UE,UTTAR PRADESH,JALAUN,HINDI,Y,01
UE,UTTAR PRADESH,JAUNPUR,HINDI,Y,01
UE,UTTAR PRADESH,JHANSI,HINDI,Y,01
UE,UTTAR PRADESH,KANNAUJ,HINDI,Y,01
UE,UTTAR PRADESH,KANPUR DEHAT,HINDI,Y,01
UE,UTTAR PRADESH,KANPUR NAGAR,HINDI,Y,01
UW,UTTAR PRADESH,KASGANJ,HINDI,Y,01
UE,UTTAR PRADESH,KAUSHAMBI,HINDI,Y,01
UE,UTTAR PRADESH,KUSHINAGAR,HINDI,Y,01
UE,UTTAR PRADESH,LAKHIMPUR KHERI,HINDI,Y,01
UE,UTTAR PRADESH,LALITPUR,HINDI,Y,01
UE,UTTAR PRADESH,LUCKNOW,HINDI,Y,01
UE,UTTAR PRADESH,MAHARAJGANJ,HINDI,Y,01
UE,UTTAR PRADESH,MAHOBA,HINDI,Y,01
UW,UTTAR PRADESH,MAINPURI,HINDI,Y,01
UW,UTTAR PRADESH,MATHURA,HINDI,Y,01
UE,UTTAR PRADESH,MAU,HINDI,Y,01
UW,UTTAR PRADESH,MEERUT,HINDI,Y,01
UE,UTTAR PRADESH,MIRZAPUR,HINDI,Y,01
UW,UTTAR PRADESH,MORADABAD,HINDI,Y,01
UW,UTTAR PRADESH,MUZAFFARNAGAR,HINDI,Y,01
UW,UTTAR PRADESH,PILIBHIT,HINDI,Y,01
UE,UTTAR PRADESH,PRATAPGARH,HINDI,Y,01
UE,UTTAR PRADESH,RAIBAREILLY,HINDI,Y,01
UW,UTTAR PRADESH,RAMPUR,HINDI,Y,01
UW,UTTAR PRADESH,SAHARANPUR,HINDI,Y,01
UW,UTTAR PRADESH,SAMBHAL,HINDI,Y,01
UE,UTTAR PRADESH,SANT KABIR NAGAR,HINDI,Y,01
UE,UTTAR PRADESH,SHAHJANPUR,HINDI,Y,01
UW,UTTAR PRADESH,SHAMLI,HINDI,Y,01
UE,UTTAR PRADESH,SHARAWASTI,HINDI,Y,01
UE,UTTAR PRADESH,SIDDHARTH NAGAR,HINDI,Y,01
UE,UTTAR PRADESH,SITAPUR,HINDI,Y,01
UE,UTTAR PRADESH,SONEBHADRA,HINDI,Y,01
UE,UTTAR PRADESH,SRN BHADOHI,HINDI,Y,01
UE,UTTAR PRADESH,SULTANPUR,HINDI,Y,01
UE,UTTAR PRADESH,UNNAO,HINDI,Y,01
UE,UTTAR PRADESH,VARANASI,HINDI,Y,01
