VCode,Name_E,Name_G,TCode,DCode,MDDS_Code
1,Lam Pur,Lam Pur,0001,2,63866
2,Mamoor Pur,Mamoor Pur,0001,2,63867
3,Singhu,Singhu,0001,2,
4,Singhola,Singhola,0001,2,
5,Hamid Pur,Hamid Pur,0001,2,
6,Taj Pur Kalan,Taj Pur Kalan,0001,2,
7,Akbar Pur Majra,Akbar Pur Majra,0001,2,
8,Palla,Palla,0001,2,
9,Qullak Pur,Qullak Pur,0001,2,
10,Jhangola,Jhangola,0001,2,
11,Sunger Pur Shahdara  (un-inhabited),Sunger Pur Shahdara  (un-inhabited),0001,2,
12,Sunger Pur Delhi,Sunger Pur Delhi,0001,2,
13,Tigi Pur ,Tigi Pur ,0001,2,
14,Fateh Pur Jat,Fateh Pur Jat,0001,2,
17,Kham Pur,Kham Pur,0001,2,
18,Shah Pur Garhi,Shah Pur Garhi,0001,2,63881
20,Kureni,Kureni,0001,2,63882
24,Hareoli,Hareoli,0001,2,63886
25,Ochandi,Ochandi,0001,2,63887
26,Mungesh Pur,Mungesh Pur,0001,2,63888
27,Katewara,Katewara,0001,2,63889
29,Sultan Pur Dabas,Sultan Pur Dabas,0001,2,63892
30,Iradat Nagar alias Naya Bans,Iradat Nagar alias Naya Bans,0001,2,
31,Holambi Khurd,Holambi Khurd,0001,2,63894
32,Holambi Kalan,Holambi Kalan,0001,2,63895
33,Zind Pur,Zind Pur,0001,2,
34,Hiranki,Hiranki,0001,2,
35,Mohd. Pur Ramzan Pur,Mohd. Pur Ramzan Pur,0001,2,
36,Tehri Daulat Pur (Un-inhabited),Tehri Daulat Pur (Un-inhabited),0001,2,
38,Garhi Khasru,Garhi Khasru,0001,2,
41,Nangli Poona,Nangli Poona,0001,2,
42,Bodh Pur Bija Pur,Bodh Pur Bija Pur,0001,2,
44,Kankar Khera,Kankar Khera,0001,2,
45,Pansali,Pansali,0001,2,
48,Punjab Khor,Punjab Khor,0002,1,
49,Jat Khor,Jat Khor,0002,1,
50,Salah Pur Majra,Salah Pur Majra,0002,1,
51,Budhan Pur,Budhan Pur,0002,1,
52,Chand Pur,Chand Pur,0002,1,
57,Madan Pur Dabas,Madan Pur Dabas,0002,1,
59,Rasool Pur,Rasool Pur,0002,1,
60,Saoda,Saoda,0002,1,63931
62,Chatesar,Chatesar,0002,1,
63,Jonti,Jonti,0002,1,
64,Garhi Rindhala,Garhi Rindhala,0002,1,
65,Nizam Pur Rashid Pur,Nizam Pur Rashid Pur,0002,1,
66,Shanjar Pur(un-inhabited),Shanjar Pur(un-inhabited),0003,2,
67,Salem Pur Majra Burari,Salem Pur Majra Burari,0004,6,63951
68,Badar Pur Majra Burari,Badar Pur Majra Burari,0004,6,
69,Jagat Pur ilaqa Shahdara (un-inhabited),Jagat Pur ilaqa Shahdara (un-inhabited),0004,6,63953
70,Jagat Pur ilaqa Delhi,Jagat Pur ilaqa Delhi,0004,6,63954
73,Badar Pur Khadar,Badar Pur Khadar,0007,3,
74,Pur Delhi,Pur Delhi,0007,3,
75,Pur Shahdara,Pur Shahdara,0007,3,
76,Saba Pur Delhi,Saba Pur Delhi,0007,3,
77,Saba Pur Shahdara,Saba Pur Shahdara,0007,3,
