TCode,Name_E,Name_G,BID
0004,Civil Lines (0004) ,Civil Lines (0004) ,4
0006,Kotwali (0006) ,Kotwali (0006) ,4
0005,Sadar Bazar(0005),Sadar Bazar(0005),1
0003,Model Town (0003) ,Model Town (0003) ,1
0019,Patel Nagar(0019),Patel Nagar(0019),3
0021,Punjabi Bagh(0021),Punjabi Bagh(0021),3
0016,Darya Ganj(0016),Darya Ganj(0016),4
0018,Karol Bagh(0018),Karol Bagh(0018),4
0017,Pahar Ganj(0017),Pahar Ganj(0017),4
0014,Chanakya Puri(0014),Chanakya Puri(0014),5
0010,Gandhi Nagar(0010),Gandhi Nagar(0010),6
0023,Delhi Cantonment (0023) ,Delhi Cantonment (0023) ,5
0022,Najafgarh(0022),Najafgarh(0022),10
0024,Vasant Vihar (0024) ,Vasant Vihar (0024) ,5
0009,Seema Puri (0009) ,Seema Puri (0009) ,12
0037,Sarita Vihar (0037) ,Sarita Vihar (0037) ,0
0007,Seelam Pur(0007),Seelam Pur(0007),8
0011,Vivek Vihar (0011) ,Vivek Vihar (0011) ,12
0001,Narela(0001),Narela(0001),1
0026,Defence Colony (0026) ,Defence Colony (0026) ,11
0020,Rajouri Garden(0020),Rajouri Garden(0020),3
0015,Parliament Street(0015),Parliament Street(0015),5
0012,Preet Vihar(0012),Preet Vihar(0012),6
0027,Kalkaji (0027) ,Kalkaji (0027) ,11
0025,Hauz Khas(0025),Hauz Khas(0025),7
0007,Seelam Pur (0007) ,Seelam Pur (0007) ,0
0013,Connaught Place(0013),Connaught Place(0013),5
0002,Saraswati Vihar(0002),Saraswati Vihar(0002),2
0037,South East Block,,11
0008,Shahdara Block,,12
0029,Kanjhawla (0029) ,Kanjhawla (0029) ,2
0030,Rohini (0030) ,Rohini (0030) ,2
0031,Alipur (0031) ,Alipur (0031) ,1
0038,Yamuna Vihar (0038) ,Yamuna Vihar (0038) ,8
0039,Karawal Nagar (0039) ,Karawal Nagar (0039) ,8
0028,Mayur Vihar (0028) ,Mayur Vihar (0028) ,6
0036,Saket (0036) ,Saket (0036) ,7
0035,Mehrauli (0035) ,Mehrauli (0035) ,7
0033,Dwarka (0033) ,Dwarka (0033) ,10
0034,Kapashera (0034) ,Kapashera (0034) ,10
0039,Karawal Nagar (0039) ,Karawal Nagar (0039) ,0
