VCode,Name_E,Name_G,TCode,DCode,MDDS_Code
141,JAINAGRA,JAINAGRA,0004,1,347275
142,BHURWA,BHURWA,0004,1,347276
143,KHARAUNDHA,KHARAUNDHA,0004,1,347277
144,CHOKA,CHOKA,0004,1,347278
145,DAKAR,DAKAR,0004,1,347279
146,BELHATH,BELHATH,0004,1,347280
147,GARA KALAN,GARA KALAN,0004,1,347281
148,GARA KHURD,GARA KHURD,0004,1,347282
149,KASNAP,KASNAP,0004,1,347283
150,SUNRIPURA,SUNRIPURA,0004,1,347284
151,KUSAHI,KUSAHI,0004,1,347285
152,SHEIKPURA ALIAS DHABSARKI,SHEIKPURA ALIAS DHABSARKI,0004,1,347286
153,KISHUNPUR,KISHUNPUR,0004,1,347287
154,PINDRAHA,PINDRAHA,0004,1,347288
155,SARKI,SARKI,0004,1,347289
156,CHAUKHARI,CHAUKHARI,0004,1,347290
157,SIURI,SIURI,0004,1,347291
158,KACHAR,KACHAR,0004,1,347292
159,KANRI,KANRI,0004,1,347293
160,DHABRIA,DHABRIA,0004,1,347294
161,SABYA,SABYA,0004,1,347295
162,NAINABAR,NAINABAR,0004,1,347296
163,BAHERWA,BAHERWA,0004,1,347297
164,RATAMGARA,RATAMGARA,0004,1,347298
165,WOLMA,WOLMA,0004,1,347299
166,JATRA,JATRA,0004,1,347300
167,LAMARI KHURD,LAMARI KHURD,0004,1,347301
168,CHATANIAN,CHATANIAN,0004,1,347302
169,PIPARDIH,PIPARDIH,0004,1,347303
170,LAMARI KALAN,LAMARI KALAN,0004,1,347304
171,JAINATH ALIAS GHORDAG,JAINATH ALIAS GHORDAG,0004,1,347305
172,BARDIHA,BARDIHA,0006,1,347353
173,JIKABU KCHAM,JIKABU KCHAM,0006,1,347354
174,LEBHRI,LEBHRI,0006,1,347355
175,KHARDIHA,KHARDIHA,0006,1,347356
176,SUKHNADI,SUKHNADI,0006,1,347357
177,KOLHUA,KOLHUA,0006,1,347358
178,BARCHHABANDH,BARCHHABANDH,0006,1,347359
179,LAWA CHAMPA,LAWA CHAMPA,0006,1,347360
180,ADAR,ADAR,0006,1,347361
181,SEMRI,SEMRI,0006,1,347362
182,NAWADIH,NAWADIH,0006,1,347363
183,JATRO BANJARI,JATRO BANJARI,0006,1,347364
184,DAWAN KARA,DAWAN KARA,0005,1,347306
185,PURHE,PURHE,0005,1,347307
186,TANRHE,TANRHE,0005,1,347308
187,KARUI,KARUI,0005,1,347309
188,BALIGARH,BALIGARH,0005,1,347310
189,JAHARSARAI,JAHARSARAI,0005,1,347311
190,RANITALI,RANITALI,0005,1,347312
191,BHAGODIH JALIMA,BHAGODIH JALIMA,0005,1,347313
192,KOINBAR,KOINBAR,0005,1,347314
193,SONPURWA,SONPURWA,0005,1,347315
194,CHAUKHANDI,CHAUKHANDI,0005,1,347316
195,GOGEA,GOGEA,0005,1,347317
196,BHATAULIA,BHATAULIA,0005,1,347318
197,ACHHODIH,ACHHODIH,0005,1,347319
198,CHANDARPURA,CHANDARPURA,0005,1,347320
199,GOPALPUR,GOPALPUR,0005,1,347321
200,KAMAT,KAMAT,0005,1,347322
201,PIRTHIPUR,PIRTHIPUR,0005,1,347323
202,HARI GANWAN,HARI GANWAN,0005,1,347324
