BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
82,CHAUPARAN,CHAUPARAN,,21,0150,3166
83,CHURCHU,CHURCHU,,21,0164,3167
84,ICHAK,ICHAK,,21,0153,3169
85,KATKAMSANDI,KATKAMSANDI,,21,0160,3170
86,KEREDARI,KEREDARI,,21,0162,3171
87,JAMTARA,JAMTARA,,24,0184,3177
88,KUNDHIT,KUNDHIT,,24,0187,3178
89,NALA,NALA,,24,0185,3179
90,NARAYANPUR,NARYANPUR,,24,0182,3180
91,ARKI,अड्की,,26,0211,3218
92,KARRA,कर्रा,,26,0206,3224
93,KHUNTI,खूंटी,,26,0210,3225
94,MURHU,मुरहू,,26,0209,3228
95,RANIA,रनिया,,26,0208,3231
96,TORPA,तोरपा,,26,0207,3236
97,JAINAGAR,JAINAGAR,,5,0035,3182
98,KODERMA,KODERMA,,5,0033,3183
99,MARKACHO,MARKACHO,,5,0037,3184
100,SATGAWAN,SATGAWAN,,5,0032,3185
101,BALUMATH,BALUMATH,,20,0146,3186
103,BARWADIH,BARWADIH,,20,0142,3187
104,CHANDWA,CHANDWA,,20,0149,3188
105,GARU,GARU,,20,0144,3189
106,LATEHAR,LATEHAR,,20,0145,3190
107,MAHUADAND,MAHUADAND,,20,0143,3191
108,MANIKA,MANIKA,,20,0141,3192
109,BHANDRA,BHANDRA,,15,0109,3193
110,KISKO,KISKO,,15,0103,3194
111,KURU,KURU,,15,0105,3195
112,LOHARDGA,LOHARDGA,,15,0107,3196
113,AMRAPARA,AMRAPARA,,10,0080,3198
114,HIRANPUR,HIRANPUR,,10,0081,3199
115,LITIPARA,LITIPARA,,10,0079,3200
116,MAHESHPUR,MAHESHPUR,,10,0083,3201
117,PAKUR,PAKUR,,10,0082,3202
118,PAKURIA,PAKURIA,,10,0084,3203
119,CHAINPUR,CHAINPUR,,19,0140,3205
121,CHHATARPUR,CHHATAPUR,,19,0126,3206
123,HUSSAINABAD,HUSSAINABAD,,19,0121,3210
124,MANATU,MANATU,,19,0134,3212
125,PATAN,PATAN,,19,0132,3215
126,PANKI,PANKI,,19,0136,3214
127,BANDGAON,BANDGAON,,29,0236,3261
128,CHAKRADHARPUR,CHAKRADHARPUR,,29,0237,3263
130,GOILKERA,GOILKERA,,29,0239,3264
132,JAGANNATHPUR,JAGANNATHPUR,,29,0249,3265
133,JHINKPANI,JHINKPANI,,29,0248,3266
134,KUMARDUNGI,KUMARDUNGI,,29,0250,3268
135,KHUNTPANI,KHUNTPANI,,29,0238,3267
136,MAJHGAON,MAJHGAON,,29,0251,3270
137,MANJHARI,MANJHARI,,29,0247,3269
138,SONUA,SONUA,,29,0234,3273
139,TANTNAGAR,TANTNAGAR,,29,0246,3274
140,TONTO,TONTO,,29,0243,3275
141,BAHARAGORA,BAHARAGORA,,18,0120,3108
142,CHAKULIA,CHAKULIA,,18,0119,3109
143,DHALBHUMGARH,DHALBHUMGARH,,18,0117,3110
144,DUMARIA,DUMARIA,,18,0116,3111
145,GHATSHILA,GHATSHILA,,18,0113,3112
146,GOLMURI,GOLMURI,,18,0112,3113
147,MUSABANI,MUSABANI,,18,0115,3114
148,PATAMDA,PATAMDA,,18,0110,3115
149,POTKA,POTKA,,18,0114,3116
150,GOLA,GOLA,,22,0171,3168
151,MANDU,MANDU,,22,0167,3172
1,ANGARA,ANGARA,ANGARA,25,0192,3217
2,NAMKUM,NAMKUM,NAMKUM,25,0196,3229
3,BERO,BERO,BERO,25,0201,3219
4,BERMO,BERMO,,13,0096,3064
5,CHANDANKIYARI,CHANDANKIYARI,,13,0102,3065
6,CHAS,CHAS,,13,0101,3066
7,GUMIA,GUMIA,,13,0097,3067
8,JARIDIH,JARIDIH,,13,0100,3068
9,KASMAR,KASMAR,,13,0099,3069
10,NAWADIH,NAWADIH,,13,0094,3070
11,PETERWAR,PETERWAR,,13,0098,3071
12,CHATRA,चतरा,,3,0024,3072
13,HUNTERGUNG,हंटरगंज,,3,0020,
14,ITKHORI,इटखोरी,,3,0028,3075
15,PARTAPPUR,प्रतापपुर,,3,0021,3079
16,SIMARIA,सिमरिया,,3,0023,3080
17,TANDWA,टंडवा,,3,0031,3081
19,MOHANPUR,MOHANPUR,MOHANPUR,7,0052,3086
20,SARATH,SARATH,SARATH,7,0059,3088
21,DEVIPUR,DEVIPUR,DEVIPUR,7,0055,3083
22,KARON,KARON,KARON,7,0058,3084
23,MADHUPUR,MADHUPUR,MADHUPUR,7,0056,3085
24,BAGHMARA,BAGHMARA,,12,0088,3090
25,BALIYAPUR,BALIYAPUR,BALIYAPUR,12,0092,3091
26,DHANBAD,DHANBAD,,12,0090,3092
27,GOBINDPUR,GOBINDPUR,,12,0089,3093
29,NIRSHA,NIRSHA,,12,0093,3095
30,TOPCHANCHI,TOPCHANCHI,,12,0087,3096
31,TUNDI,TUNDI,,12,0085,3097
32,DUMKA,DUMKA,,23,0179,3098
33,GOPIKANDAR,GOPIKANDAR,,23,0175,3099
34,JAMA,JAMA,,23,0180,3100
35,JARMUNDI,JARMUNDI,,23,0173,3101
36,MASALIA,MASALIA,,23,0181,3103
37,RANISHWAR,RANISHWAR,,23,0178,3105
38,RAMGARH,RAMGARH,,23,0174,3104
39,SARAIYAHAT,SARAIYATH,,23,0172,3106
40,SHIKARIPARA,SHIKARIPARA,,23,0177,3107
41,BHANDARIA,BHANDARIA,,1,0019,3117
42,BHAWNATHPUR,BHAWNATHPUR,,1,0002,3118
