PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
2,PHC NAMKUM,पीएचसी नामकुम,,25,0196,2,501,,1,0,False
3,CHC ITKHORI,CHC ITKHORI,,3,0026,14,501,,2,0,False
4,CHC CHATRA,CHC CHATRA,,3,0024,12,501,,2,0,False
5,APHC KANHACHATTI,APHC KANHACHATTI,,3,0024,14,502,,1,0,False
6,APHC GIDDHAOR,APHC GIDDHAOR,,3,0028,14,501,,1,0,False
7,PHC UTA,PHC UTA,,3,0024,12,503,0,1,0,False
8,CHC HUNTERGUNG,CHC HUNTERGUNG,,3,0020,13,501,,2,0,False
9,APC JORI,APC JORI,,3,0020,13,502,,1,0,False
10,CHC PRATAP PUR,CHC PRATAP PUR,,3,0021,15,501,,2,0,False
11,PHC YADAV NAGAR TANDWA,PHC YADAV NAGAR TANDWA,,3,0021,15,502,0,1,0,False
12,APHC TANDWA,APHC TANDWA,,3,0021,15,503,,1,0,False
13,APHC KUNDA,APHC KUNDA,,3,0021,15,504,,1,0,False
14,CHC SIMARIA,CHC SIMARIA,,3,0030,16,501,,2,0,False
15,APHC LAWALAUNG,APHC LAWALAUNG,,3,0023,16,501,,1,0,False
16,APHC JABRHA,APHC JABRHA,,3,0023,16,502,,1,0,False
17,CHC KARON,CHC KARON,,7,0058,22,501,,2,0,False
18,PHC GOVINDPUR,PHC GOVINDPUR,,7,0058,22,502,,1,0,False
21,APHC UDNABAD,APHC UDNABAD,,6,0045,59,501,,1,0,False
22,APHC PACHMBA,APHC PACHMBA,,6,0045,59,502,,1,0,False
23,APHC SENADINI,APHC SENADINI,,6,0045,59,503,,1,0,False
24,CHC NIRSA,CHC NIRSA,,12,0093,29,501,,2,0,False
25,PHC SALUKCHAPDA,PHC SALUKCHAPDA,,12,0093,29,502,0,1,0,False
26,PHC BENAGARIYA,PHC BENAGARIYA,,12,0093,29,503,0,1,0,False
27,PHC JAIPUR,PHC JAIPUR,,12,0093,29,504,0,1,0,False
28,PHC AMBONA,PHC AMBONA,,12,0093,29,505,0,1,0,False
29,PHC TETULIA,PHC TETULIA,,12,0093,29,506,0,1,0,False
30,PHC MADANPUR,PHC MADANPUR,,12,0093,29,507,0,1,0,False
31,PHC CHIRKUNDA,PHC CHIRKUNDA,,12,0093,29,508,0,1,0,False
32,CHC TUNDI,CHC TUNDI,,12,0085,31,501,,2,0,False
