SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
1,HSC KHARKABAD,HSC KHARKABAD,37,0089,12,1,,0,0
2,HSC SARKARDIH,HSC SARKARDIH,37,0089,12,2,,0,0
3,HSC MAHULBANI,HSC MAHULBANI,37,0089,12,3,,0,0
4,HSC BHITIYA,HSC BHITIYA,37,0089,12,4,,0,0
5,HSC DHURIO MAHUBANI,HSC DHURIO MAHUBANI,37,0089,12,5,,0,0
7,HSC MURADIH,HSC MURADIH,37,0089,12,7,,0,0
8,HSC ASNA,HSC ASNA,37,0089,12,8,,0,0
9,HSC KUBRITAND,HSC KUBRITAND,37,0089,12,9,,0,0
10,HSC UDAYPUR,HSC UDAYPUR,37,0089,12,10,,0,0
11,HSC TILAIYA,HSC TILAIYA,37,0089,12,11,,0,0
12,HSC KADALAGA,HSC KADALAGA,37,0089,12,12,0,0,0
13,HSC SONRIYA,HSC SONRIYA,37,0089,12,13,,0,0
14,HSC PALAIDIH,HSC PALAIDIH,37,0089,12,14,0,0,0
15,HSC JARGADI,HSC JARGADI,37,0089,12,15,0,0,0
17,HSC JANGALPUR,HSC JANGALPUR,37,0089,12,17,,0,0
18,HSC NAWADIH,HSC NAWADIH,3,0026,3,1,,0,0
19,HSC PATHALGADHA,HSC PATHALGADHA,3,0026,3,2,,0,0
20,HSC DWARI,HSC DWARI,3,0026,3,3,0,0,0
21,HSC GANGPUR,HSC GANGPUR,3,0026,3,4,,0,0
22,HSC ITIT,HSC ITIT,3,0026,3,5,,0,0
23,HSC PAKARIA,HSC PAKARIA,3,0026,3,6,,0,0
24,HCS PARSAONI,HSC PARSAONI,3,0026,3,7,0,0,0
25,HSC SHARJAM,HSC SHARJAM,3,0026,3,8,,0,0
26,HSC KARMA,HSC KARMA,3,0026,3,9,,0,0
29,HSC MAYURHAN,HSC MAYURHAN,3,0026,3,11,4631,0,0
30,HSC NARPATI,HSC NARPATI,3,0026,3,12,4589,0,0
31,HSC PATHARA,HSC PATHARA,3,0026,3,13,4633,0,0
32,HSC AMJHAR,HSC AMJHAR,3,0026,3,14,4676,0,0
33,HSC DALDALI,HSC DALDALI,37,0089,12,18,,0,0
34,HSC TIKAR,HSC TIKAR,4,0024,3,1,4469,0,0
35,HSC DAHURI,HSC DAHURI,4,0024,3,2,4508,0,0
36,HSC NAWADA,HSC NAWADA,4,0024,3,3,4409,0,0
37,HSC PAKARIA,HSC PAKARIA,4,0024,3,4,4383,0,0
38,HSC SIKID SINDWARI,HSC SIKID SINDWARI,4,0024,3,5,0,0,0
39,HSC MOKTTAMA,HSC MOKTTAMA,4,0024,3,6,0,0,0
40,HSC MORADIH,HSC MORADIH,24,0093,12,1,,0,0
41,HSC BELA,HSC BELA,4,0024,3,7,4446,0,0
42,HSC SIMA,HSC SIMA,4,0024,3,8,0,0,0
43,HSC RUT,HSC RUT,4,0024,3,9,4482,0,0
44,HSC BENGARIA,HSC BENGARIA,24,0093,12,2,,0,0
45,HSC GOPALPUR,HSC GOPALPUR,24,0093,12,3,,0,0
46,HSC MARDANPUR,HSC MARDANPUR,4,0024,3,10,4481,0,0
47,HSC BARVINDIYA,HSC BARVINDIYA,24,0093,12,4,,0,0
48,HSC RAJACHAK,HSC RAJACHAK,4,0024,3,11,,0,0
49,HSC UPCHURIA,HSC UPCHURIA,24,0093,12,5,,0,0
50,HSC RAJPUR,HSC RAJPUR,4,0024,3,12,,0,0
51,HSC BARABAGI,HSC BARABAGI,4,0024,3,13,,0,0
52,HSC TULBUL,HSC TULBUL,4,0024,3,14,0,0,0
53,HSC PINDRAHAT,HSC PINDRAHAT,24,0093,12,6,,0,0
54,HSC MADGADA,HSC MADGADA,4,0024,3,15,0,0,0
55,HSC GUNDUWA,HSC GUNDUWA,24,0093,12,7,,0,0
56,HSC SINDWARI BADHAR,HSC SINDWARI BADHAR,4,0024,3,16,0,0,0
57,HSC DHARIYATU,HSC DHARIYATU,4,0024,3,17,,0,0
58,HSC LARKUA,HSC LARKUA,4,0024,3,18,,0,0
59,HSC DADI,HSC DADI,14,0030,3,1,,0,0
60,HSC SOHAR,HSC SOHAR,14,0030,3,2,,0,0
61,HSC DELHO,HSC DELHO,14,0030,3,3,,0,0
62,HSC PACHAMO,HSC PACHAMO,14,0030,3,4,,0,0
63,HSC BIRI,HSC BIRI,14,0030,3,5,,0,0
64,HSC SHILA,HSC SHILA,14,0030,3,6,,0,0
65,HSC CHOPE,HSC CHOPE,14,0030,3,7,,0,0
66,HSC JURI,HSC JURI,14,0030,3,8,4862,0,0
67,HSC BELGARA,HSC BELGARA,14,0030,3,9,,0,0
68,HSC NAWADA,HSC NAWADA,14,0030,3,10,,0,0
69,HSC BAGARA,HSC BAGARA,14,0030,3,11,,0,0
70,HSC SALGI,HSC SALGI,14,0030,3,12,,0,0
71,HSC LAMRA,HSC LAMRA,14,0030,3,13,,0,0
72,HSC KALYANPUR,HSC KALYANPUR,14,0030,3,14,,0,0
73,HSC MANHANIYA,HSC MANHANIYA,14,0030,3,15,,0,0
74,HSC BOLBOLE,HSC BOLBOLE,14,0030,3,16,,0,0
75,HSC TIKARA,HSC TIKARA,14,0030,3,17,,0,0
76,HSC BICHKILA,HSC BICHKILA,10,0021,3,1,,0,0
77,HSC GHORIGHAT,HSC GHORIGHAT,10,0021,3,2,0,0,0
78,HSC NAWADIH,HSC NAWADIH,10,0021,3,3,,0,0
79,HSC NARAYANPUR,HSC NARAYANPUR,10,0021,3,4,,0,0
80,HSC KORUWA,HSC KORUWA,10,0021,3,5,,0,0
81,HSC GHAGHARA,HSC GHAGHARA,24,0093,12,8,0,0,0
82,HSC KOWRA,HSC KOWRA,10,0021,3,6,0,0,0
83,HSC LIPDA,HSC LIPDA,10,0021,3,7,,0,0
84,HSC DUMARKUNDA,HSC DUMARKUNDA,24,0093,12,9,,0,0
85,HSC MEDWADIH,HSC MEDWADIH,10,0021,3,8,,0,0
86,HSC GURIA,HSC GURIA,10,0021,3,9,,0,0
87,HSC SIKIDAG,HSC SIKIDAG,10,0021,3,10,,0,0
88,HSC BANIADIH,HSC BANIADIH,10,0021,3,11,,0,0
89,HSC KHHAIRKIYARI,HSC KHHAIRKIYARI,24,0093,12,10,,0,0
90,HSC JOBIYARA,HSC JOBIYARA,10,0021,3,12,0,0,0
91,HSC NANAIKALA,HSC NANAIKALA,10,0021,3,13,,0,0
92,HSC SANGAMAHAL,HSC SANGAMAHAL,24,0093,12,11,,0,0
93,HSC AMBONA,HSC AMBONA,24,0093,12,12,,0,0
94,HSC BIRSINGPUR,HSC BIRSINGPUR,24,0093,12,13,,0,0
95,HSC TETULIYA,HSC TETULIYA,24,0093,12,14,,0,0
96,HSC URMA,HSC URMA,24,0093,12,15,,0,0
97,HSC BANKA,HSC BANKA,8,0020,3,1,,0,0
98,HSC BELA,HSC BELA,8,0020,3,2,,0,0
99,HSC PANDEYPUR,HSC PANDEYPUR,8,0020,3,3,0,0,0
100,HSC BADAL PUR,HSC BADAL PUR,24,0093,12,16,,0,0
101,HSC BALURI,HSC BALURI,8,0020,3,4,,0,0
102,HSC KHOKHARA PAHAR,HSC KHOKHARA PAHAR,24,0093,12,17,,0,0
103,HSC CHAKLA,HSC CHAKLA,8,0020,3,5,,0,0
104,FWC KUMARDHUBI,FWC KUMARDHUBI,24,0093,12,18,0,0,0
105,HSC AURUGERWA,HSC AURUGERWA,8,0020,3,6,0,0,0
106,HSC SIRPURIA,HSC SIRPURIA,24,0093,12,19,,0,0
107,HSC KARMA,HSC KARMA,8,0020,3,7,,0,0
108,HSC MEDHA,HSC MEDHA,24,0093,12,20,0,0,0
109,HSC SARDAM,HSC SARDAM,8,0020,3,8,,0,0
110,HSC KALIASOL,HSC KALIASOL,24,0093,12,21,,0,0
111,HSC SALAIYA,HSC SALAIYA,8,0020,3,9,,0,0
112,HSC KURKHEHTTA,HSC KURKHEHTTA,8,0020,3,10,0,0,0
113,HSC BAINI,HSC BAINI,8,0020,3,11,,0,0
114,HSC GHANGHARI,HSC GHANGHARI,8,0020,3,12,0,0,0
115,HSC BHELATAND,HSC BHELATAND,56,0090,12,1,,0,0
116,HSC KOBNA,HSC KOBNA,8,0020,3,13,,0,0
117,HSC LOYADIH,HSC LOYADIH,56,0090,12,2,,0,0
118,HSC HATWARIA,HSC HATWARIA,8,0020,3,14,,0,0
119,HSC MATKURIA,HSC MATKURIA,56,0090,12,3,,0,0
120,HSC DUMRIA,HSC DUMRIA,8,0020,3,15,,0,0
121,HSC PARSIA,HSC PARSIA,56,0090,12,4,,0,0
122,HSC WASSEYPUR,HSC WASSEYPUR,56,0090,12,5,,0,0
123,HSC DANTAR,HSC DANTAR,8,0020,3,16,,0,0
125,HSC MANAITAND,HSC MANAITAND,56,0090,12,7,,0,0
126,HSC GODHAR,HSC GODHAR,56,0090,12,8,,0,0
127,HSC BASERIA,HSC BASERIA,56,0090,12,9,,0,0
128,HSC KARITAND,HSC KARITAND,56,0090,12,10,,0,0
129,HSC DHOBNI,HSC DHOBNI,56,0090,12,11,0,0,0
130,HSC DAMODARPUR,HSC DAMODARPUR,56,0090,12,12,,0,0
131,HSC KANKANI,HSC KANKANI,56,0090,12,13,,0,0
132,HSC KOLA KUSUMA,HSC KOLA KUSUMA,56,0090,12,14,,0,0
133,HSC BAGULA,HSC BAGULA,56,0090,12,15,,0,0
134,HSC DHAIYA,HSC DHAIYA,56,0090,12,16,,0,0
135,HSC BISHUNPUR,HSC BISHUNPUR,56,0090,12,17,,0,0
136,HSC PUTAKI,HSC PUTAKI,56,0090,12,18,,0,0
137,HSC RADHA NAGAR,HSC RADHA NAGAR,47,0088,12,1,,0,0
138,HSC MALKERA,HSC MALKERA,47,0088,12,2,,0,0
139,HSC TELMACHCHO,HSC TELMACHCHO,47,0088,12,3,,0,0
140,HSC BASTAKOLA,HSC BASTAKOLA,52,0091,12,1,0,0,0
141,HSC NAGARIKALA,HSC NAGARIKALA,47,0088,12,4,,0,0
142,UFWC JHARIA,UFWC JHARIA,52,0091,12,2,0,0,0
143,HSC RUDI KAPURIA,HSC RUDI KAPURIA,47,0088,12,5,0,0,0
144,HSC MAHULBANI,HSC MAHULBANI,52,0091,12,3,,0,0
145,HSC TETULMARI,HSC TETULMARI,47,0088,12,6,,0,0
146,UFWC JORAPOKHAR,UFWC JORAPOKHAR,52,0091,12,4,0,0,0
147,HSC JHAGRAHI,HSC JHAGRAHI,47,0088,12,7,,0,0
148,HSC DHANUADIH,HSC DHANUADIH,52,0091,12,5,0,0,0
149,HSC BAGDAHA,HSC BAGDAHA,47,0088,12,8,,0,0
150,HSC SADRIADIH,HSC SADRIADIH,47,0088,12,9,,0,0
151,HSC HORLADIH,HSC HORLADIH,52,0091,12,6,0,0,0
152,HSC JAIRAMPUR,HSC JAIRAMPUR,52,0091,12,7,,0,0
153,HSC GHORATHI,HSC GHORATHI,47,0088,12,10,,0,0
154,HSC SHALIMAR,HSC SHALIMAR,52,0091,12,8,0,0,0
155,HSC NARAINPUR,HSC NARAINPUR,47,0088,12,11,,0,0
156,HSC NUNUKDIH,HSC NUNUKDIH,52,0091,12,9,0,0,0
157,HSC MAHUDA,HSC MAHUDA,47,0088,12,12,,0,0
158,HSC BHORA,HSC BHORA,52,0091,12,10,0,0,0
159,HSC BARORA,HSC BARORA,47,0088,12,13,,0,0
160,HSC KANDRA,HSC KANDRA,52,0091,12,11,0,0,0
161,HSC MAHESHPUR,HSC MAHESHPUR,47,0088,12,14,,0,0
162,HSC DIGWADIH,HSC DIGWADIH,52,0091,12,12,0,0,0
