SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000076,SUTHERPUR,SUTHERPUR,0171,22,6747,369275
10000077,NARSINHDIH,NARSINGDIH,0171,22,6747,369275
10000078,NEMRA,NEMRA,0171,22,6748,369276
10000079,KHAJURI,KHAJURI,0002,1,0,
10000080,KHAJURI,KHAJURI,0005,1,0,
10000081,BIRBANDHA,BIRBANDHA,0005,1,0,
10000082,AMAR,AMAR,0005,1,0,
10000083,JOGIVIR,JOGIVIR,0005,1,0,
10000084,LAKDAI,LAKDAI,0005,1,0,
10000085,BHUSUWA,BHUSUWA,0005,1,0,
10000086,BAKOIYA,BAKOIYA,0005,1,0,
10000087,AACHHODIH,AACHHODIH,0005,1,0,
10000088,CHANDRAPURA,CHANDRAPURA,0005,1,0,
10000089,RAMPUR,RAMPUR,0005,1,0,
10000090,BIDANDA,BIDANDA,0005,1,0,
10000091,PARYADIH,PARYADIH,0005,1,0,
10000092,JAHARSARAI,JAHARSARAI,0005,1,0,
10000093,MANJHIGAWAN,MANJHIGAWAN,0005,1,0,
10000094,RANITALI,RANITALI,0005,1,0,
10000095,PARSAKHANR,PARSAKHANR,0005,1,0,
10000096,KAMAT,KAMAT,0005,1,0,
10000097,BICHHI,BICHHI,0005,1,0,
10000098,SONPURWA,SONPURWA,0005,1,0,
10000099,BARCHHABANDH,BARCHHABANDH,0005,1,0,
10000100,BARCHHABANDH,BARCHHABANDH,0005,1,0,
10000101,BODARA,BODARA,0005,1,0,
10000102,LAWA CHAMPA,LAWA CHAMPA,0005,1,0,
10000103,GOPALPUR,GOPALPUR,0005,1,0,
10000104,KARUI,KARUI,0005,1,0,
10000105,BHAGODIH,BHAGODIH,0005,1,0,
10000106,DEWANKARA,DEWANKARA,0005,1,0,
10000107,PURHE,PURHE,0005,1,0,
10000108,TADHE,TADHE,0005,1,0,
10000109,AADAR,AADAR,0005,1,0,
10000110,JATRO BANJARI,JATRO BANJARI,0005,1,0,
10000111,NAWADIH,NAWADIH,0005,1,0,
10000112,SEMARI,SEMARI,0005,1,0,
10000113,KUSUMIYA DAMAR,KUSUMIYA DAMAR,0005,1,0,
10000114,OBRA,OBRA,0005,1,0,
10000115,LOKA,LOKA,0005,1,0,
10000116,GANGATARIYA,GANGATARIYA,0005,1,0,
10000117,KOUWAKHOH,KOUWAKHOH,0005,1,0,
10000118,SARSATIYA,SARSATIYA,0005,1,0,
10000119,KHARDIHA,KHARDIHA,0005,1,0,
10000120,CHIRAIYATAND,CHIRAIYATAND,0005,1,0,
10000121,KOLHUWA,KOLHUWA,0005,1,0,
10000122,AANA JARHI,AANA JARHI,0005,1,0,
10000123,SUKHNADI,SUKHNADI,0005,1,0,
10000124,BARDIHA,BARDIHA,0005,1,0,
10000125,CHUMBA,CHUMBA,0167,22,6535,369053
10000126,SANDI,SANDI,0167,22,6532,369050
10000127,BARKATOLI,BARKATOLI,0197,25,24894,374083
10000128,KUMBATOLI,KUMBATOLI,0197,25,24894,374083
10000000,Do not delete it,Do not delete it,0,0,0,
10000001,aaaaaaaaaaaa,aaaaaaaaaaaa,0179,23,20325,371369
10000002,DHATKIDIH,DHATKIDIH,0252,30,28633,378583
10000003,DORO,DORO,0252,30,28633,378583
10000004,SERENGDA,SERENGDA,0252,30,28633,378583
10000005,ARUWAN,ARUWAN,0252,30,28633,378583
10000006,JODASARJAM,JODASARJAM,0252,30,28633,378583
10000007,DAMADIRI,DAMADIRI,0252,30,28633,378583
10000008,KARAMARA,KARAMARA,0171,22,6698,369226
10000009,KONARDIH,KONARDIH,0171,22,6698,369226
10000010,MASRIHDIH,MASRIHDIH,0171,22,6699,369227
10000011,MACHATAND,MACHATAND,0171,22,6699,369227
10000012,PATHALGARHA,PATHALGARHA,0171,22,6698,369226
10000013,JARABANDA,JARABANDA,0171,22,6698,369226
10000014,GOSA,GOSA,0168,22,6575,369101
10000015,LODROBERA,LODROBERA,0168,22,6601,369114
10000016,KARMALI TOLA,KARMALI TOLA,0168,22,6601,369114
10000017,NAWADIH,NAWADIH,0168,22,6601,369114
10000018,MUNDA TOLA,MUNDA TOLA,0168,22,6601,369114
10000019,SARIYA,SARIYA,0168,22,6601,369114
10000020,BARLONG,BARLONG,0168,22,6601,369114
10000021,DUMAR TOLA,DUMAR TOLA,0168,22,6601,369114
10000022,DHOBI TOLA,DHOBI TOLA,0168,22,6601,369114
10000023,KUNDRUKHURD,KUNDRUKHURD,0168,22,6601,369114
10000024,KHANTOLA,KHANTOLA,0168,22,6601,369114
10000025,KUNDRUKALA,KUNDRUKALA,0168,22,6601,369114
10000026,BARWADIH,BARWADIH,0168,22,6601,369114
10000027,PIPRAZARA,PIPRAZARA,0171,22,6666,369194
10000028,MEDIYAZARA,MEDIYAZARA,0171,22,6666,369194
