VCode,Name_E,Name_G,TCode,DCode,MDDS_Code
1,Danteti,Danteti,0002,1,451467
2,Sukhwas,Sukhwas,0002,1,451468
3,Bhurendi,Bhurendi,0002,1,451469
4,Tarra Khurd,Tarra Khurd,0002,1,451470
5,Balawani,Balawani,0002,1,451471
6,Hasalpur Khurd,Hasalpur Khurd,0002,1,451472
7,Chandupura,Chandupura,0002,1,451473
8,Dhanaycha,Dhanaycha,0002,1,451474
9,Kotka,Kotka,0002,1,451475
10,Raipura,Raipura,0002,1,451476
11,Sankarikheda,Sankarikheda,0002,1,451477
12,Sironi,Sironi,0002,1,451478
13,Choreka,Choreka,0002,1,451479
14,Pura,Pura,0002,1,451480
15,Ochha,Ochha,0002,1,451481
16,Khajuri Shayapur,Khajuri Shayapur,0002,1,451482
17,Basona,Basona,0002,1,451483
18,Sillipur,Sillipur,0002,1,451484
19,Lonjher,Lonjher,0002,1,451485
20,Silpari,Silpari,0002,1,451486
21,Todi,Todi,0002,1,451487
22,Deopur,Deopur,0002,1,451488
23,Kheroda Kalan,Kheroda Kalan,0002,1,451489
24,Kheroda Khurd,Kheroda Khurd,0002,1,451490
25,Milawali,Milawali,0002,1,451491
26,Akoriya,Akoriya,0002,1,451492
27,Sudhara,Sudhara,0002,1,451493
28,Kinnapura,Kinnapura,0002,1,451494
29,Lakshamanpura (Dhodhar),Lakshamanpura (Dhodhar),0002,1,451495
30,Mahuamar,Mahuamar,0002,1,451496
31,Tarra Kalan,Tarra Kalan,0002,1,451497
32,Moreka,Moreka,0002,1,451498
33,Piprani,Piprani,0002,1,451499
34,Rijhenta,Rijhenta,0002,1,451500
35,Baroli,Baroli,0002,1,451501
36,Chainpur,Chainpur,0002,1,451502
37,Jamurda,Jamurda,0002,1,451503
38,Jamurdi,Jamurdi,0002,1,451504
39,Jaitpura,Jaitpura,0002,1,451505
40,Daulpura,Daulpura,0002,1,451506
41,Parashta,Parashta,0002,1,451507
42,Kishanpura,Kishanpura,0002,1,451508
43,Dhori Bawadi,Dhori Bawadi,0002,1,451509
44,Parwati Pura,Parwati Pura,0002,1,451510
45,Dubawali,Dubawali,0002,1,451511
46,Bhaironpura,Bhaironpura,0002,1,451512
47,Shyampur,Shyampur,0002,1,451513
48,Ghughas,Ghughas,0002,1,451514
49,Jakher,Jakher,0002,1,451515
50,Telipura,Telipura,0002,1,451516
51,Chhawar,Chhawar,0002,1,451517
52,Duma,Duma,0002,1,451518
53,Bagher,Bagher,0002,1,451519
54,Nadigaon,Nadigaon,0002,1,451520
55,Liloli,Liloli,0002,1,451521
56,Jimarchha,Jimarchha,0002,1,451522
57,Gohar,Gohar,0002,1,451523
58,Sikheda,Sikheda,0002,1,451524
59,Pancho,Pancho,0002,1,451525
60,Nitanwas (Bijaipur),Nitanwas (Bijaipur),0002,1,451526
61,Birpur,Birpur,0002,1,451527
62,Syarda,Syarda,0002,1,451528
63,Badagaon,Badagaon,0002,1,451529
64,Harkui,Harkui,0002,1,451530
65,Lalaiyapura,Lalaiyapura,0002,1,451531
66,Amarpura,Amarpura,0002,1,451532
67,Mehtoni,Mehtoni,0002,1,451533
68,Kurawali,Kurawali,0002,1,451534
69,Jahangarh,Jahangarh,0002,1,451535
70,Akoda,Akoda,0002,1,451536
71,Basera,Basera,0002,1,451537
72,Paraser,Paraser,0002,1,451538
73,Arrod,Arrod,0001,1,451361
74,Imalia,Imalia,0001,1,451362
75,Jhar Baroda,Jhar Baroda,0001,1,451363
76,Ransinghpura,Ransinghpura,0001,1,451364
