TCode,Name_E,Name_G,BID
0013,Bhind(0013),Bhind(0013),353
0335,Harsud(0335),Harsud(0335),315
0338,Punasa(0338),Punasa(0338),315
0339,Pandhana(0339),Pandhana(0339),321
0336,Khalwa(0336),Khalwa(0336),316
0337,Khandwa(0337),Khandwa(0337),316
0335,Harsud(0335),Harsud(0335),320
0317,Pushparajgarh(0317),Pushparajgarh(0317),11
0203,Sehore(0203),Sehore(0203),54
0269,Amarwara(0269),Amarwara(0269),265
0004,Badoda(0004),Badoda(0004),2
0028,Pohri(0028),Pohri(0028),130
0014,Mehgaon(0014),Mehgaon(0014),358
0233,Seoni-Malwa(0233),Seoni-Malwa(0233),116
0238,Sohagpur(0238),Sohagpur(0238),89
0001,Vijaypur(0001),Vijaypur(0001),2
0094,Sirmour(0094),Sirmour(0094),287
0322,Majhauli(0322),Majhauli(0322),215
0042,Baldeogarh(0042),Baldeogarh(0042),7
0248,Sihora(0248),Sihora(0248),272
0341,Khaknar(0341),Khaknar(0341),327
0102,Gurh(0102),Gurh(0102),287
0251,Shahpur(0251),Shahpur(0251),275
0248,Sihora(0248),Sihora(0248),277
0018,Mihona(0018),Mihona(0018),357
0277,Sausar(0277),Sausar(0277),362
0238,Sohagpur(0238),Sohagpur(0238),96
0221,Betul (0221),Betul (0221),49
0249,Majholi(0249),Majholi(0249),279
0222,Chicholi(0222),Chicholi(0222),114
0155,Dhar(0155),Dhar(0155),331
0223,Ghodadongari(0223),Ghodadongari(0223),114
0210,Rehti(0210),Rehti(0210),52
0331,Ranapur(0331),Ranapur(0331),44
0215,Baraily(0215),Baraily(0215),359
0175,Barwani(0175),Barwani(0175),318
0340,Burhanpur(0340),Burhanpur(0340),327
0234,Itarsi(0234),Itarsi(0234),88
0216,Badi(0216),Badi(0216),90
0224,Shahpur(0224),Shahpur(0224),56
0221,Betul (0221),Betul (0221),56
0223,Ghodadongari(0223),Ghodadongari(0223),56
0171,Khargone(0171),Khargone(0171),307
0181,Niwali(0181),Niwali(0181),323
0216,Badi(0216),Badi(0216),359
0053,Ghuwara(0053),Ghuwara(0053),98
0283,Dhanora(0283),Dhanora(0283),239
0127,Rawti(0127),Rawti(0127),157
0048,Nowgong(0048),Nowgong(0048),46
0051,Rajnagar(0051),Rajnagar(0051),46
0274,Umreth(0274),Umreth(0274),281
0054,Bijawar(0054),Bijawar(0054),46
0052,Bada Malhera(0052),Bada Malhera(0052),101
0162,Hatod(0162),Hatod(0162),308
0070,Sagar(0070),Sagar(0070),125
0162,Hatod(0162),Hatod(0162),301
0066,Malthone(0066),Malthone(0066),125
0073,Kesli(0073),Kesli(0073),124
0267,Nainpur(0267),Nainpur(0267),297
0070,Sagar(0070),Sagar(0070),124
0072,Rehli(0072),Rehli(0072),124
0070,Sagar(0070),Sagar(0070),86
0069,Rahatgarh(0069),Rahatgarh(0069),86
