SID,VCode
16,8172
16,8177
16,8182
16,8183
16,8184
16,8185
16,8186
16,8187
17,8218
17,8219
17,8245
17,8247
17,8248
17,8250
18,8108
18,8127
18,8128
18,8129
18,8130
18,8131
18,8132
18,8133
18,8134
18,8136
18,8137
18,8138
19,8097
19,8098
19,8099
19,8100
19,8105
19,8106
19,8107
19,8110
19,8176
19,10001054
20,8101
20,8103
20,8104
20,8248
20,8251
20,10001037
20,10001038
20,10001039
20,10001040
20,10001041
20,10001042
20,10001043
20,10001044
20,10001045
20,10001046
20,10001047
20,10001048
20,10001049
20,10001050
20,10001051
21,8109
21,8173
21,8174
21,8175
21,8176
21,8179
21,8180
21,8183
21,10001055
22,8122
22,8123
22,8124
22,8166
22,8167
22,8168
22,8169
22,8170
22,8171
22,8189
22,8255
22,10001056
23,8153
23,8154
23,8155
23,8156
23,8157
23,8158
23,8159
23,8196
23,8197
23,8223
23,8224
24,8117
24,8118
24,8119
24,8120
24,8121
24,8236
25,8140
25,8141
25,8142
25,8143
25,8144
25,8145
25,8148
25,8257
26,8111
26,8112
26,8113
26,8115
26,8116
26,8125
27,8139
27,8149
27,8151
27,8152
28,8198
28,8199
28,8200
28,8201
28,8202
28,8203
29,8163
29,8164
29,8165
29,8190
29,8192
29,8193
29,8195
29,8204
29,10001057
30,8206
30,8207
30,8208
30,8209
30,8216
31,8210
31,8211
31,8212
31,8213
31,8214
31,8215
32,8226
32,8227
32,8228
32,8230
32,8231
32,8239
32,8240
33,8126
33,8232
33,8233
33,8237
34,8132
34,8158
34,8220
34,8221
34,8222
34,8244
34,10001058
35,8234
35,8235
35,10001059
36,7327
36,7328
36,7330
36,7355
36,7356
37,7308
37,7309
37,7310
37,7311
37,7313
37,7314
38,7317
38,7318
38,7319
38,7320
38,7321
38,7322
38,7323
38,7324
39,7372
39,7376
39,7377
39,7380
39,7382
39,7438
40,7378
40,7379
40,10001169
40,10001170
41,7312
41,7315
41,7316
41,7329
41,7351
42,7391
42,7396
42,7397
42,7398
42,7423
43,7367
43,7369
43,7373
43,7383
43,7384
43,10001177
44,7365
44,7366
44,7368
44,7370
44,7392
44,7393
44,7441
44,10001176
45,7375
45,7381
45,7385
45,7386
45,7388
45,7389
45,7413
45,7414
45,10001171
46,7345
46,7394
46,7395
46,300046
46,10001172
46,10001173
46,10001174
46,10001175
47,7341
47,7343
47,7344
47,7345
47,7346
47,7347
48,7334
48,7349
48,7357
48,7359
49,7337
49,7338
49,7339
49,7340
50,7332
50,7335
50,7336
50,7351
51,7330
51,7353
51,7354
51,10001154
51,10001155
51,10001156
51,10001157
51,10001158
51,10001159
51,10001160
51,10001161
51,10001162
51,10001163
51,10001164
51,10001165
51,10001166
51,10001167
51,10001168
52,7409
52,7410
52,7411
52,7412
52,7413
52,7414
52,7419
53,7361
53,7362
53,7364
54,7344
54,7399
54,7400
54,7401
54,7402
54,7404
54,7406
55,7409
55,7411
55,7412
55,7415
55,7416
55,7417
55,7418
56,7363
56,7405
56,7407
56,7408
57,7553
57,7554
57,7555
57,7561
57,7562
57,7565
57,7566
57,7567
57,7582
57,10001111
58,7536
59,7556
59,7557
59,7558
59,7559
59,7560
60,7528
60,7529
60,7530
60,7531
60,7532
60,7533
61,7473
61,7474
61,7475
61,7476
61,7477
61,7479
61,7480
61,7481
61,7482
62,7563
62,7565
62,7567
62,7568
62,7569
62,7570
62,7571
62,7576
63,7499
63,7512
63,7518
63,7519
63,7520
63,7521
63,7541
63,7542
63,7543
63,10001112
63,10001113
64,7447
64,7463
64,7464
64,7467
64,7472
64,7485
64,300049
64,300050
64,10001114
65,7489
65,7572
65,7573
65,7574
65,7577
65,7582
66,7455
66,7457
66,7458
66,7459
66,7461
66,7462
66,7583
67,7546
67,7547
67,7548
67,7549
68,7483
68,7534
68,7535
68,7539
68,7540
68,10001115
69,7537
69,7538
70,7502
70,7503
70,7504
70,7506
70,7507
70,10001116
70,10001117
71,7465
71,7466
71,7468
71,7469
71,7470
71,7471
72,7460
72,7575
72,7579
72,7580
72,7581
72,7584
73,7449
73,7450
73,7451
73,7452
73,7453
73,7454
73,7546
74,7544
74,7545
74,7550
74,7551
74,7552
75,7483
75,7487
75,7489
75,7490
75,7491
75,7492
75,7493
75,7510
75,7516
75,300051
76,7495
76,7496
76,7497
76,7498
76,7500
76,7509
77,7515
77,7517
77,7519
77,7522
77,7523
77,7524
77,7525
77,7526
78,7715
78,7718
78,7719
78,7721
78,7722
78,7723
79,7677
79,7678
79,7679
79,300052
80,7732
80,7733
81,7698
81,7700
81,7713
82,7750
82,7762
82,7763
82,7764
82,7765
82,7766
83,7697
83,7699
83,7701
84,7752
84,7753
84,7754
84,7761
84,7776
84,7777
85,7758
85,7774
85,7775
85,7778
85,7779
85,7780
85,7781
85,7782
87,7704
87,7707
90,7677
90,7678
90,7684
90,7693
90,7695
90,7696
90,7773
91,7724
92,7762
92,7769
93,7755
93,7756
93,7757
93,7759
94,7748
94,7775
95,7769
95,7770
95,7772
98,7689
98,7690
98,7694
100,7683
100,7685
100,7686
102,7746
102,7747
102,7748
102,7749
103,7743
104,7734
104,7740
104,7741
105,7739
105,7742
105,7743
105,7744
106,7703
106,7709
106,7710
106,7724
107,7717
107,7720
107,7725
107,7726
107,7727
107,7728
107,7729
108,7730
108,7731
108,7735
108,7736
110,7705
110,7706
110,7767
110,7768
111,7711
111,7738
112,7903
112,7917
112,7918
112,7919
112,7922
112,7923
113,7833
113,7834
113,7844
113,7845
113,7846
113,7848
113,7849
114,7914
114,7920
114,7924
114,7925
114,7926
114,7928
114,7929
114,7930
114,7931
115,7877
115,7909
115,7910
115,7915
115,7916
115,10001119
116,7875
116,7876
116,7878
116,7879
116,7880
117,7871
117,7872
117,7873
117,7904
117,7906
118,7854
118,7855
118,7856
118,7858
118,7859
118,7873
118,10001123
119,7894
119,7900
119,7901
119,7903
120,7863
120,7864
120,7865
120,7866
120,7868
120,7902
121,7867
121,7869
121,7870
121,7874
122,7927
122,7932
122,7933
122,7934
123,7895
123,7896
123,7898
123,7899
124,7886
124,7887
124,7888
124,7890
124,7891
124,7892
124,7893
124,10001118
125,7802
125,7803
125,7805
126,7838
126,7841
126,7842
126,7843
126,7847
126,7850
127,7852
127,7853
127,7861
127,7862
128,7785
128,7787
128,7793
128,7794
128,7797
128,7828
129,7795
129,7796
129,7798
129,7799
129,7800
130,7811
130,7813
130,7814
130,7816
130,7817
131,7820
131,7821
131,7823
131,7826
131,7830
131,7831
131,7832
132,7881
132,7882
132,7883
132,7884
132,7885
133,7824
133,7825
133,7827
133,7828
133,7829
134,7835
134,7836
134,7837
134,7839
134,7840
134,7860
135,7788
135,7789
135,7791
135,7815
135,7818
135,7819
136,7948
136,7949
136,7951
136,7952
136,7953
136,7954
136,7955
136,7956
136,7958
136,8075
137,7674
137,7941
137,7942
137,7943
137,7946
137,7950
138,7971
138,7976
138,7978
138,7982
138,8001
138,10001090
138,10001091
139,7944
139,7947
139,7957
139,7959
139,7960
139,7961
139,7962
139,7963
140,7971
140,7972
140,7973
140,7974
140,7975
141,7977
141,7980
141,7981
141,8004
141,8006
141,8007
141,8081
142,7964
142,7965
142,7968
142,7969
142,7970
142,7979
143,7935
143,7936
143,7937
143,7938
143,7939
143,7940
143,8059
144,7990
