SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
16,SHC Aastoan,SHC Aastoan,5,0044,8,1,,0,0
17,SHC Amarpur,SHC Amarpur,5,0044,8,2,,0,0
18,SHC Dhajrai,SHC Dhajrai,5,0044,8,3,,0,0
19,SHC Hiranagar,SHC Hiranagar,5,0044,8,4,,0,0
20,SHC Kari,SHC Kari,5,0044,8,5,,0,0
21,SHC Khiriya,SHC Khiriya,5,0044,8,6,0,0,0
22,SHC Kundeshawar,SHC Kundeshawar,5,0044,8,7,,0,0
23,SHC Lakhoara,SHC Lakhoara,5,0044,8,8,,0,0
24,SHC Maharajpur,SHC Maharajpur,5,0044,8,9,,0,0
25,SHC Majna,SHC Majna,5,0044,8,10,,0,0
26,SHC Maughat,SHC Maughat,5,0044,8,11,,0,0
27,SHC Mawai,SHC Mawai,5,0044,8,12,,0,0
28,SHC Nainwari,SHC Nainwari,5,0044,8,13,,0,0
29,SHC Patha,SHC Patha,5,0044,8,14,,0,0
30,SHC Samarra,SHC Samarra,5,0044,8,15,,0,0
31,SHC Sapon,SHC Sapon,5,0044,8,16,,0,0
32,SHC Budera,SHC Budera,6,0044,8,17,,0,0
33,SHC Dikoli,SHC Dikoli,6,0044,8,18,,0,0
34,SHC Lar,SHC Lar,6,0044,8,19,,0,0
35,SHC Nayagaon,SHC Nayagaon,6,0044,8,20,,0,0
36,SHC Asati,SHC Asati,25,0036,8,1,0,0,0
37,SHC Beejor,SHC Beejor,25,0036,8,2,0,0,0
38,SHC Biharipura,SHC Biharipura,25,0036,8,3,0,0,0
39,SHC Chakarpur,SHC Chakarpur,16,0036,8,4,,0,0
40,SHC Chandawani,SHC Chandawani,16,0036,8,5,,0,0
41,SHC Karguwa,SHC Karguwa,25,0036,8,6,0,0,0
42,SHC Basoba,SHC Basoba,13,0036,8,7,0,0,0
43,SHC Gujrrakala,SHC Gujrrakala,13,0036,8,8,,0,0
44,SHC Kumharra,SHC Kumharra,13,0036,8,9,,0,0
45,SHC Mador,SHC Mador,16,0036,8,10,0,0,0
46,SHC Orchha,SHC Orchha,13,0036,8,11,,0,0
47,SHC Kudar,SHC Kudar,15,0036,8,12,,0,0
48,SHC Patharam,SHC Patharam,15,0036,8,13,,0,0
49,SHC Sendari,SHC Sendari,15,0036,8,14,,0,0
50,SHC Shakti Bhairo,SHC Shakti Bhairo,15,0036,8,15,,0,0
51,SHC Taricharkala,SHC Taricharkala,15,0036,8,16,,0,0
52,SHC Bahera,SHC Bahera,14,0036,8,17,,0,0
53,SHC Dhamna,SHC Dhamna,14,0036,8,18,,0,0
54,SHC Ghughsi,SHC Ghughsi,14,0036,8,19,0,0,0
55,SHC Teharka,SHC Teharka,14,0036,8,20,,0,0
56,SHC Thona,SHC Thona,14,0036,8,21,,0,0
57,SHC Gailwara,SHC Gailwara,8,0038,8,1,,0,0
58,SHC Jeron,SHC Jeron,8,0038,8,2,,0,0
59,SHC Khistoan,SHC Khistoan,8,0038,8,3,,0,0
60,SHC Madia,SHC Madia,8,0038,8,4,,0,0
61,SHC Atarra,SHC Atarra,9,0038,8,5,,0,0
62,SHC Banjaripura,SHC Banjaripura,9,0038,8,6,,0,0
63,SHC Bhopalpura,SHC Bhopalpura,9,0038,8,7,,0,0
64,SHC Chandrapur,SHC Chandrapur,9,0038,8,8,,0,0
65,SHC Choamo,SHC Choamo,9,0038,8,9,,0,0
66,SHC Dhilla,SHC Dhilla,9,0038,8,10,,0,0
67,SHC Jebramoara,SHC Jebramoara,9,0038,8,11,,0,0
68,SHC Kakawani,SHC Kakawani,9,0038,8,12,,0,0
69,SHC Luharguwa,SHC Luharguwa,9,0038,8,13,,0,0
70,SHC Mudaini,SHC Mudaini,9,0038,8,14,,0,0
71,SHC Naiguwa,SHC Naiguwa,9,0038,8,15,,0,0
72,SHC Sukerabhadaran,SHC Sukerabhadaran,9,0038,8,16,,0,0
73,SHC Sunoatia,SHC Sunoatia,9,0038,8,17,,0,0
74,SHC Virorakhet,SHC Virorakhet,9,0038,8,18,,0,0
75,SHC Dhorra,SHC Dhorra,7,0038,8,19,,0,0
76,SHC Simra,SHC Simra,7,0038,8,20,,0,0
77,SHC Veersagar,SHC Veersagar,7,0038,8,21,,0,0
78,SHC Banmhori Barana,SHC Banmhori Barana,20,0039,8,1,0,0,0
79,SHC Bilgay,SHC Bilgay,20,0039,8,2,0,0,0
80,SHC Chandera,SHC Chandera,24,0039,8,3,,0,0
81,SHC Vijrawan,SHC Vijrawan,20,0039,8,4,0,0,0
82,SHC Berwar,SHC Berwar,23,0039,8,5,0,0,0
83,SHC Digouda,SHC Digouda,20,0039,8,6,,0,0
84,SHC Manchi,SHC Manchi,23,0039,8,7,0,0,0
85,SHC Ramgarh,SHC Ramgarh,23,0039,8,8,0,0,0
86,SHC Acharra,SHC Acharra,21,0039,8,9,0,0,0
87,SHC Bachhoda,SHC Bachhoda,20,0039,8,10,0,0,0
88,SHC Bandha,SHC Bandha,21,0039,8,11,0,0,0
89,SHC Dargaykhurd,SHC Dargaykhurd,21,0039,8,12,0,0,0
90,SHC Dhamna,SHC Dhamna,20,0039,8,13,0,0,0
91,SHC Goar,SHC Goar,21,0039,8,14,0,0,0
92,SHC Ikbalpura,SHC Ikbalpura,21,0039,8,15,0,0,0
93,SHC Jarua,SHC Jarua,23,0039,8,16,,0,0
94,SHC Khaira,SHC Khaira,21,0039,8,17,0,0,0
95,SHC Kuwarpura,SHC Kuwarpura,20,0039,8,18,0,0,0
96,SHC Malpeetha,SHC Malpeetha,21,0039,8,19,0,0,0
97,SHC Mastapur,SHC Mastapur,21,0039,8,20,0,0,0
98,SHC Mau Bujurg,SHC Mau Bujurg,20,0039,8,21,0,0,0
99,SHC Nandanwara,SHC Nandanwara,21,0039,8,22,0,0,0
100,SHC Varmadang,SHC Varmadang,20,0039,8,23,0,0,0
101,SHC Vrashbhanpura,SHC Vrashbhanpura,21,0039,8,24,0,0,0
102,SHC Abda Bamhori,SHC Abda Bamhori,24,0039,8,25,0,0,0
103,SHC Lidhora,SHC Lidhora,22,0039,8,26,0,0,0
104,SHC Petpura,SHC Petpura,24,0039,8,27,0,0,0
105,SHC Shah,SHC Shah,24,0039,8,28,0,0,0
106,SHC Beerau,SHC Beerau,22,0039,8,29,0,0,0
107,SHC Chhipari,SHC Chhipari,22,0039,8,30,0,0,0
108,SHC Gotet,SHC Gotet,22,0039,8,31,0,0,0
109,SHC Mohangarh,SHC Mohangarh,21,0039,8,32,,0,0
110,SHC Muhara,SHC Muhara,22,0039,8,33,0,0,0
111,SHC Satguwa,SHC Satguwa,22,0039,8,34,0,0,0
112,SHC Aalampur,SHC Aalampur,11,0041,8,1,,0,0
113,SHC Bamhorikala,SHC Bamhorikala,11,0041,8,2,,0,0
114,SHC Bannebujurg,SHC Bannebujurg,11,0041,8,3,,0,0
115,SHC Laroan,SHC Laroan,11,0041,8,4,,0,0
116,SHC Pra,SHC Pra,11,0041,8,5,,0,0
117,SHC Toria,SHC Toria,11,0041,8,6,,0,0
118,SHC Barana thar,SHC Barana thar,10,0041,8,7,,0,0
119,SHC Budoar,SHC Budoar,10,0041,8,8,,0,0
120,SHC Kachhoar,SHC Kachhoar,10,0041,8,9,,0,0
121,SHC Khajri,SHC Khajri,10,0041,8,10,,0,0
122,SHC Ramnagar,SHC Ramnagar,10,0041,8,11,,0,0
123,SHC Rampura,SHC Rampura,10,0041,8,12,,0,0
124,SHC Ghura,SHC Ghura,12,0041,8,13,,0,0
125,SHC Jewar,SHC Jewar,12,0041,8,14,,0,0
126,SHC Kanjana,SHC Kanjana,12,0041,8,15,,0,0
127,SHC Kapasi,SHC Kapasi,12,0041,8,16,,0,0
128,SHC Kharro,SHC Kharro,12,0041,8,17,,0,0
129,SHC Mahewachak,SHC Mahewachak,12,0041,8,18,,0,0
130,SHC Maidawar,SHC Maidawar,12,0041,8,19,,0,0
131,SHC Pahadibujurg,SHC Pahadibujurg,12,0041,8,20,,0,0
132,SHC Pali,SHC Pali,12,0041,8,21,,0,0
133,SHC Sagarwara,SHC Sagarwara,12,0041,8,22,,0,0
134,SHC Simra,SHC Simra,12,0041,8,23,,0,0
135,SHC Syawani,SHC Syawani,12,0041,8,24,,0,0
136,SHC Aahar,SHC Aahar,18,0042,8,1,,0,0
137,SHC Baisa,SHC Baisa,18,0042,8,2,,0,0
138,SHC Bhelsi,SHC Bhelsi,18,0042,8,3,,0,0
139,SHC Ganeshpura,SHC Ganeshpura,18,0042,8,4,,0,0
140,SHC Banera,SHC Banera,193,0042,8,5,0,0,0
141,SHC Devarda,SHC Devarda,193,0042,8,6,0,0,0
142,SHC Gukharai,SHC Gukharai,193,0042,8,7,0,0,0
143,SHC Banyani,SHC Banyani,19,0042,8,8,,0,0
144,SHC Sijoura,SHC Sijoura,19,0042,8,9,,0,0
145,SHC Sujanpura,SHC Sujanpura,19,0042,8,10,,0,0
146,SHC Kulua,SHC Kulua,25,0036,8,22,,0,0
147,SHC Ladwari,SHC Ladwari,25,0036,8,23,,0,0
148,SHC Mudara,SHC Mudara,25,0036,8,24,,0,0
149,SHC Poha,SHC Poha,25,0036,8,25,,0,0
150,SHC Amalai,SHC Amalai,28,0315,49,1,0,0,0
151,SHC Bamhani,SHC Bamhani,29,0315,49,2,,0,0
152,SHC Banka,SHC Banka,28,0315,49,3,0,0,0
153,SHC Bijaudi,SHC Bijaudi,28,0315,49,4,0,0,0
154,SHC Chhilpa,SHC Chhilpa,29,0315,49,5,,0,0
155,SHC Devganwa,SHC Devganwa,29,0315,49,6,,0,0
156,SHC Deori (Amalai),SHC Deori (Amalai),28,0315,49,7,0,0,0
157,SHC Dulhara,SHC Dulhara,28,0315,49,8,0,0,0
158,SHC Funga,SHC Funga,29,0315,49,9,,0,0
159,SHC Jamudi,SHC Jamudi,28,0315,49,10,0,0,0
