SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000000,Do not delete it,Do not delete it,0,0,0,
10000001,Rewjha,Rewjha,0076,12,12753,461860
10000002,Bilguwan,Bilguwan,0076,12,12810,461917
10000003,Khirsadi,Khirsadi,0295,45,301112,498274
10000004,Parsatola,Parsatola,0295,45,54865,498000
10000005,BHAISAKHADAN,,0128,20,25166,470942
10000006,BARKHEDA KHURD,,0124,20,24625,470404
10000007,Babutola,hindi,0269,43,50938,493953
10000008,Hirri Jagir,,0269,43,50938,493953
10000009,Jungawani,,0269,43,50938,493953
10000010,Gadadaryab,,0269,43,50938,493953
10000011,Jamuniya Bhoora,,0269,43,50938,493953
10000012,Gadarwada,,0269,43,50938,493953
10000013,Gadarwada,,0269,43,50938,493953
10000014,Bicchua,,0269,43,50938,493953
10000015,Katiadhana,,0269,43,50938,493953
10000016,BLANK,Rondatola,0295,45,301130,498292
10000017,BLANK,Pola Patpari,0295,45,54874,498009
10000018,Naijher,Naijher,0265,42,49907,493157
10000019,digod,,0150,23,28291,473948
10000020,SEMIOKOL,,0264,42,49729,492967
10000021,Godadeen,,0264,42,49639,492877
10000022,Rojda,&nbsp;,0173,27,33381,477779
10000023,Mojda,,0173,27,300180,477820
10000024,Pipripala,,0173,27,300195,477835
10000025,KADWAPANI,,0173,27,33409,477807
10000026,DHARAMPURI,,0173,27,300195,477835
10000027,Nandudhana,,0277,43,301000,495328
10000028,Khairimirajee,,0277,43,51961,495210
10000029,Bichhawi,,0277,43,51961,495210
10000030,Waghora,,0277,43,52023,495272
10000031,Bhivadoni,,0277,43,52077,495324
10000032,Yalkapar,,0277,43,52042,495289
10000033,Pawarkheda,,0277,43,52068,495315
10000034,Khedi,,0277,43,51988,495237
10000035,Sitapar,,0277,43,52036,495207
10000036,Menagodi,,0277,43,51999,495248
10000037,Nadepur,,0277,43,10000027,
10000038,Brogaon,,0277,43,52021,495270
10000039,Berdi,,0277,43,301005,495333
10000040,kachidhana,,0277,43,52015,495264
10000041,Mehndi,,0277,43,52065,495312
10000042,kachidhana,,0277,43,52052,495299
10000043,kachidhana,,0277,43,10000042,
10000044,Sausar,,0277,43,51982,495231
10000045,Helapadava,Helapadava,0174,27,300219,477955
10000046,Nilikhali,NIlikhali,0174,27,300225,477961
10000047,Simriyakala,,0212,34,40719,483994
10000048,TehiMupar,TehiMupar,0212,34,40719,483994
10000049,TekaparGarhi,TekaparGarhi,0212,34,40730,484005
10000050,naskheda,,0214,34,40980,484255
10000051,Gehuras,Gehuras,0212,34,40644,483921
10000052,BAVALIYA,,0217,34,41671,484939
10000053,Patpari,,0217,34,41603,484871
10000054,bhakariya,,0214,34,41038,484313
10000055,Nayakheda,,0217,34,41485,484759
10000056,mehar manga,,0214,34,41170,484444
10000057,mundla,,0214,34,41060,484335
10000058,gadharra,,0217,34,41641,484909
10000059,mahuakheda,,0217,34,41626,484894
10000060,Nagajhiri,,0217,34,41622,484890
10000061,Uchera,,0217,34,41444,484718
10000062,Rajeev nagar,,0217,34,41596,484864
10000063,Pardhi tola,,0218,34,41732,485000
