TCode,ID,Name_G,Name_E,DCode,MDDS_Code,IsVerified
0001,638,Paikamal,Paikamal,1,2755,True
0002,484,Jharbandha,Jharbandha,1,2756,True
0003,639,Padmapur,Padmapur,1,2757,True
0004,719,Burden,Burden,1,2758,True
0005,720,Gaisilet,Gaisilet,1,2759,True
0006,721,Melchhamunda,Melchhamunda,1,2760,True
0007,722,Sohela,Sohela,1,2761,True
0008,723,Bijepur,Bijepur,1,2762,True
0009,724,Barapali,Barapali,1,2763,True
0010,551,Bheden,Bheden,1,2764,True
0011,483,Bargarh,Bargarh,1,2765,True
0012,552,Bargarh Sadar,Bargarh Sadar,1,2766,True
0013,553,Bhatli,Bhatli,1,2767,True
0014,554,Ambabhona,Ambabhona,1,2768,True
0015,555,Attabira,Attabira,1,2769,True
0026,566,Govindpur P.S.,Govindpur P.S.,3,2780,True
0027,567,Mahulpalli P.S.,Mahulpalli P.S.,3,2781,True
0028,568,Kochinda P.S.,Kochinda P.S.,3,2782,True
0029,569,Katarbaga P.S.,Katarbaga P.S.,3,2783,True
0030,570,Thelkoloi  P.S. (New),Thelkoloi  P.S. (New),3,2784,True
0031,571,Rengali P.S. (New),Rengali P.S. (New),3,2785,True
0032,572,Sasan P.S.,Sasan P.S.,3,2786,True
0033,573,Hirakud P.S.,Hirakud P.S.,3,2787,True
0034,574,Burla P.S.,Burla P.S.,3,2788,True
0035,575,Dhanupali P.S.,Dhanupali P.S.,3,2789,True
0036,576,Ainthapali P.S.,Ainthapali P.S.,3,2790,True
0037,577,Sadar P.S.,Sadar P.S.,3,2791,True
0038,578,Jamankira P.S.,Jamankira P.S.,3,2792,True
0039,579,Kisinda P.S.,Kisinda P.S.,3,2793,True
0040,580,Jujomura P.S.,Jujomura P.S.,3,2794,True
0041,581,Dhama P.S.,Dhama P.S.,3,2795,True
0042,582,Charamal P.S.,Charamal P.S.,3,2796,True
0043,583,Rairakhol P.S.,Rairakhol P.S.,3,2797,True
0044,640,Naktideul P.S.,Naktideul P.S.,3,2798,True
0045,641,Sambalpur (M) P.S.,Sambalpur (M) P.S.,3,2799,True
0046,642,Debagarh P.S.,Debagarh P.S.,4,2800,True
0047,643,Barkot P.S.,Barkot P.S.,4,2801,True
0048,644,Kundheigola P.S.,Kundheigola P.S.,4,2802,True
0049,645,Reamal P.S.(P),Reamal P.S.(P),4,2803,True
0050,646,Hemgir P.S.,Hemgir P.S.,5,2804,True
0051,647,Lephripara P.S.,Lephripara P.S.,5,2805,True
0052,648,Bhasma P.S.,Bhasma P.S.,5,2806,True
0053,649,Dharuadihi P.S.(New),Dharuadihi P.S.(New),5,2807,True
0054,650,Sundargarh Town P.S.,Sundargarh Town P.S.,5,2808,True
0055,651,Sundargarh  P.S.  ,Sundargarh  P.S.  ,5,2809,True
0056,652,Kinjirkela P.S.,Kinjirkela P.S.,5,2810,True
0057,653,Talasara P.S.,Talasara P.S.,5,2811,True
0058,654,Baragaon P.S.,Baragaon P.S.,5,2812,True
0059,655,Kutra P.S.,Kutra P.S.,5,2813,True
0060,656,Rajagangapur P.S.,Rajagangapur P.S.,5,2814,True
0061,657,Raiboga P.S.,Raiboga P.S.,5,2815,True
0062,658,Biramitrapur P.S.,Biramitrapur P.S.,5,2816,True
0063,659,Hatibari P.S.,Hatibari P.S.,5,2817,True
0064,660,Bisra P.S.,Bisra P.S.,5,2818,True
