DCode,CenDistrict,Name_G,Name_E,StateID,MDDS_Code
1,01,Bargarh,Bargarh,21,370
3,03,Sambalpur,Sambalpur,21,372
4,04,Debagarh,Debagarh,21,373
5,05,Sundargarh,Sundargarh,21,374
6,06,Kendujhar,Kendujhar,21,375
7,07,Mayurbhanj,Mayurbhanj,21,376
8,08,Baleshwar,Baleshwar,21,377
9,09,Bhadrak,Bhadrak,21,378
10,10,Kendrapara ,Kendrapara ,21,379
11,11,Jagatsinghapur ,Jagatsinghapur ,21,380
12,12,Cuttack,Cuttack,21,381
13,13,Jajapur  ,Jajapur  ,21,382
14,14,Dhenkanal,Dhenkanal,21,383
15,15,Anugul  ,Anugul  ,21,384
16,16,Nayagarh  ,Nayagarh  ,21,385
17,17,Khordha ,Khordha ,21,386
19,19,Ganjam,Ganjam,21,388
20,20,Gajapati,Gajapati,21,389
21,21,Kandhamal,Kandhamal,21,390
22,22,Baudh,Baudh,21,391
23,23,Sonapur  ,Sonapur  ,21,392
24,24,Balangir,Balangir,21,393
25,25,Nuapada  ,Nuapada  ,21,394
26,26,Kalahandi,Kalahandi,21,395
27,27,Rayagada  ,Rayagada  ,21,396
28,28,Nabarangapur ,Nabarangapur ,21,397
29,29,Koraput,Koraput,21,398
30,30,Malkangiri  ,Malkangiri  ,21,399
