BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
3,JAGATSINGHPUR,JAGATSINGHPUR,Jagatsinghpur,11,0186,3389
4,Balianta,Balianta,Balianta,17,00,3456
5,BALIPATNA,BALIPATNA,Balipatna,17,0290,3457
35,DUNGURIPALI,DUNGURIPALI,Dunguripali,23,0381,3569
36,BIRMAHARAJPUR,BIRMAHARAJPUR,Birmaharajpur,23,0385,3568
37,BINKA,BINKA,Binka,23,0383,3567
38,SONEPUR,SONEPUR,Sonepur,23,0387,3570
39,TARVA,TARVA,Tarva,23,0388,3571
40,ULLUNDA,ULLUNDA,Ullunda,23,0384,3572
51,BALASORE,BALASORE,Baleshwar,8,0143,3299
52,BALIAPAL,BALIAPAL,Baliapal,8,0140,3300
53,BASTA,BASTA,Basta,8,0141,3301
54,NILAGIRI,NILAGIRI,Berhampur PHC,8,0149,3305
55,BHAOGRAI,BHAOGRAI,Jaleswarpur CHC,8,0138,3302
56,OUPADA,OUPADA,Iswarpur PHC,8,0151,3306
57,KHAIRA,KHAIRA,Khaira CHC,8,0152,3304
58,BANAPUR,BANAPUR,Banapur,17,0301,3458
59,JATANI,JATANI,Jatani,17,0296,3463
60,BEGUNIA,BEGUNIA,Botalama CHC,17,0282,3459
61,REMUNA,REMUNA,Remuna PHC,8,0148,3307
62,AUL,AUL,Aul,10,0171,3434
63,DERABISH,DERABISH,Derabish,10,0176,3435
66,MAHAKALAPADA,MAHAKALAPADA,Mahakalapada,10,0179,3438
68,KENDRAPARA,KENDRAPARA,Kendrapara,10,0173,3437
71,MARSAGHAI,MARSAGHAI,Marsaghai,10,0178,3439
73,PATKURA,PATKURA,Gardpur,10,0177,3436
74,PATTAMUNDAI,PATTAMUNDAI,Pattamundai,10,0172,3440
75,RAJKANIKA,RAJKANIKA,Rajkanika,10,0168,3441
76,RAJNAGAR,RAJNAGAR,Rajnagar,10,0169,3442
77,SIMULIA,SIMULIA,Simulia CHC,8,0154,3308
78,SORO,SORO,Soro,8,0153,3309
81,BAHANAGA,BAHANAGA,Bahanga,8,0155,3298
83,BALUGAON,BALUGAON,Balugaon,17,0300,3462
86,KANTAPADA,KANTAPADA,KANTAPADA,12,0211,3338
89,CUTTACK,CUTTACK,CUTTACK SADAR,12,0214,3337
90,BODEN,BODEN,BODEN,25,0405,3531
91,ATHAGARH,ATHAGARH,ATHAGARH,12,0196,3332
92,KHARIAR,KHARIAR,KHARIAR,25,0404,3532
93,MOHANA,MOHANA,Mohana,20,0349,3360
95,AGALPUR,AGALPUR,Agalpur,24,0389,3284
96,TIGIRIA,TIGIRIA,TIGIRIA,12,0195,3345
97,KOMNA,KOMNA,KOMNA,25,0403,3533
98,SINAPALI,SINAPALI,SINAPALI,25,0406,3535
99,DOMPADA,DOMPADA,DOMPADA,12,0194,3335
101,NUAPADA,NUAPADA,NUAPADA,25,0402,3534
102,R.UDAYAGIRI,R.UDAYAGIRI,R. Udayagiri,20,0357,3362
103,DEOGAON,DEOGAON,Deogaon,24,0391,3288
104,NARSINGHPUR,NARSINGHPUR,NARSINGHPUR,12,0190,3340
107,MAHANGA,MAHANGA,MAHANGA,12,0202,3339
108,GUDVELA,GUDVELA,Gudvela,24,0391,3289
112,BARANGA,BARANGA,BARANGA,12,0197,3336
113,PUINTALA,PUINTALA,Jamgaon,24,0390,3294
115,BADAMBA,BADAMBA,BADAMBA,12,0192,3333
117,NUAGADA,NUAGADA,Nuagada,20,0351,3361
118,KHAPRAKHOL,KHAPRAKHOL,Khaprakhol,24,0393,3290
119,NIALI,NIALI,NIALI,12,0213,3341
121,RAYAGADA,RAYAGADA,Rayagada,20,0356,3363
122,NISCHINTAKOILI,NISCHINTAKOILI,NISCHINTAKOILI,12,0205,3342
124,SALIPUR,SALIPUR,SALIPUR,12,0207,3343
125,PARALAKHEMUNDI,PARALAKHEMUNDI,Gosani,20,0353,3357
127,SUBARNAPUR,SUBARNAPUR,SUBARNAPUR,12,0194,3334
128,DHENKANAL,DHENKANAL,,14,0245,3350
129,GUMMA,GUMMA,Gumma,20,0351,3358
131,KASHINAGAR,KASHINAGAR,Kashinagar,20,0352,3359
133,TANGI CHOUDWAR,TANGI CHOUDWAR,TANGI CHOUDWAR,12,0201,3344
134,SAINTALA,SAINTALA,Saintala,24,0396,3295
135,BANARPAL,BANARPAL,BANARPAL,15,0256,3278
137,ANGUL,ANGUL,ANGUL,15,0258,3276
140,ATHMALLIK,ATHMALLIK,ATHMALLIK,15,0264,3277
141,KANTAMAL,KANTAMAL,Kantamal,22,0376,3331
142,BARKOTE,BARKOTE,Barkote,4,0047,3346
143,BOUDH,BOUDH,Boudh,22,0377,3329
144,KISHORENAGAR,KISHORENAGAR,KISHORENAGAR,15,0262,3281
145,REAMAL,REAMAL,Reamal,4,0048,3347
146,CHHENDIPADA,CHHENDIPADA,CHHENDIPADA,15,0259,3279
147,BARGARH,BARAGARH,BARAGARH,1,0011,3312
148,BONTH,BONTH,Bonth,9,0160,3325
149,BHADRAK,BHADRAK,Bhadrak,9,0160,3323
150,HARBHANGA,HARBHANGA,Harbhanga(Charichak),22,0379,3330
151,BASUDEVPUR,BASUDEVPUR,Basudevpur,9,0166,3322
153,TILEIBANI,TILEIBANI,Tileibani,4,0046,3348
154,Bhandaripokhari,Bhandaripokhari,Bhandaripokhari,9,00,3324
155,CHANDABALI,CHANDABALI,Chandabali,9,0164,3326
156,DHAMNAGAR,DHAMNAGAR,Dhamnagar,9,0159,3327
157,ODAPADA,ODAPADA,,14,0240,3355
158,TIHIDI,TIHIDI,Tihidi,9,0163,3328
159,TALCHER,TALCHER,TALCHER,15,0252,3283
160,KAMAKHYA NAGAR,KAMAKHYA NAGAR,,14,0234,3353
162,PALLAHARA,PALLAHARA,PALLAHARA,15,0246,3282
163,BELPARA,BELPARA,Belpara,24,0393,3287
164,PARJANGA,PARJANGA,,14,0233,3356
165,BALANGIR,BALANGIR,Chudapali,24,0390,3285
166,GONDIA,GONDIA,,14,0237,3351
167,TITILAGARH,TITILAGARH,Kholan,24,0400,3296
168,HINDOL,HINDOL,,14,0243,3352
169,BHUBAN,BHUBAN,,14,0236,3349
170,LOISINGHA,LOISINGHA,Loisingha,24,0390,3291
171,MURIBAHAL,MURIBAHAL,Muribahal,24,0397,3292
173,BANGOMUNDA,BANGOMUNDA,Sindhekela,24,0398,3286
174,AMBABHONA,AMBABHONA,AMBABHONA,1,0014,3310
175,BHATLI,BHATLI,BHATLI,1,0013,3314
176,BHEDEN,BHEDEN,BHEDEN,1,0010,3315
177,TUREKELA,TUREKELA,Turekela,24,0397,3297
178,BARAPALI,BARAPALI,BARAPALI,1,0009,3313
179,BIJEPUR,BIJEPUR,BIJEPUR,1,0008,3316
180,SOHELA,SOHELA,SOHELA,1,0006,3321
181,GAISILAT,GAISILAT,GAISILAT,1,0006,3317
182,PADAMPUR,PADAMPUR,PADAMPUR,1,0003,3319
183,PATNAGARH,PATNAGARH,Ghasian,24,0392,3293
184,PAIKMAL,PAIKMAL,PAIKMAL,1,0001,3320
185,JHARBANDHA,JHARBANDHA,JHARBANDHA,1,0002,3318
186,ATTABIRA,ATTABIRA,ATTABIRA,1,0015,3311
187,BOLAGAD,BOLAGAD,Bankoi PHC,17,0281,3461
189,JALESWAR,JALESWAR,Jaleswar,8,0136,3303
190,BORIGUMA,BORIGUMA,Boriguma,29,0448,3468
191,KANKADAHAD,KANKADAHAD,,14,0235,3354
192,BOIPARIGUDA,BOIPARIGUDA,Boipariguda,29,0459,3467
195,BARAGOAN,BARAGOAN,Bargaon,5,0058,3574
196,GURUNDIA,GURUNDIA,Gurundia,5,0074,3577
197,NUAGOAN,NUAGOAN,Nuagoan,5,0063,3585
198,HEMGIR,HEMGIR,Hemgir,5,0050,3578
199,BALISANKARA,BALISANKARA,Balisankara,5,0056,3573
200,KOIDA,KOIDA,Koida,5,0072,3579
201,KUTRA,KUTRA,Kutra,5,0059,3581
202,LAHUNIPARA,LAHUNIPARA,Lahunipara,5,0073,3582
203,LATHIKATA,LATHIKATA,Lathikata,5,0069,3583
204,LEPHRIPARA,LEPHRIPARA,Lephripara,5,0051,3584
205,RAJGANGPUR,RAJGANGPUR,Rajgangpur,5,0060,3586
206,SUNDARGARH,SUNDARGARH,Sadar,5,0055,3588
207,TANGARPALLI,TANGARPALLI,Tangarpalli,5,0068,3589
208,KUARMUNDA,KUARMUNDA,Kuarmunda,5,0062,3580
209,BISRA,BISRA,Bisra,5,0078,3575
211,BONAI,BONAI,Bonai,5,0076,3576
212,ANANDAPUR,ANANDAPUR,,6,0100,3443
215,CHAMPUA,CHAMPUA,,6,0085,3445
216,GHASIPURA,GHASIPURA,,6,0099,3446
217,GHATAGAON,GHATAGAON,,6,0096,3447
218,HARICHANDANPUR,HARICHANDANPUR,,6,0097,3448
220,JODA,JODA,,6,0080,3451
221,KENDUJHAR,KENDUJHAR,,6,0091,3452
222,HATADIHI,HATADIHI,,6,0102,3449
223,SUBDEGA,SUBDEGA,Subdega,5,0054,3587
225,BANSPAL,BANSPAL,,6,0092,3444
226,PATNA,PATNA,,6,0089,3453
227,TELKOI,TELKOI,,6,0094,3455
228,KHORDHA,KHORDHA,PHC Haladia,17,0284,3464
230,JHUMPURA,JHUMPURA,,6,0086,3450
233,BALIKUDA,BALIKUDA,Balikuda,11,0189,3386
234,BIRIDI,BIRIDI,Biridi,11,0187,3387
236,SAHARPADA,SAHARPADA,,6,0088,3454
237,ASKA,ASKA,ASKA,19,0325,3364
238,DHARMAGARH,DHARMAGARH,Dharmagarh,26,0416,3410
239,KUJANGA,KUJANGA,Kujanga,11,0180,3390
240,JAGANATH PRASAD,JAGANATH PRASAD,JAGANATH PRASAD,19,0320,3375
241,NAUGAON,NAUGAON,Naugaon,11,0188,3391
242,KESINGA,KESINGA,Kesinga,26,0407,3416
244,HINJILICUT,HINJILICUT,HINJILICUT,19,0337,3374
245,MADANPUR RAMPUR,MADANPUR RAMPUR,Madanpur Rampur,26,0408,3419
246,POLOSARA,POLOSARA,POLOSARA,19,0328,3380
248,NARLA,NARLA,Narla,26,0409,3420
249,Lanjigarh,Lanjigarh,Lanjigarh,26,00,3418
250,TRITOL,TRITOL,Manijanga,11,0185,3393
251,BHAWANIPATNA,BHAWANIPATNA,Bhawanipatna,26,0412,3409
252,JUNAGARH,JUNAGARH,Junagarh,26,0414,3413
253,GOLAMUNDA,GOLAMUNDA,Golamunda,26,0415,3411
255,KOKSARA,KOKSARA,Koksara,26,0417,3417
256,JAIPATNA,JAIPATNA,Jaipatna,26,0418,3412
258,THUAMUL RAMPUR,THUAMUL RAMPUR,Thuamul Rampur,26,0419,3421
260,SANAKHEMUNDI,SANAKHEMUNDI,SANAKHEMUNDI,19,0337,3383
261,ERASAMA,ERASAMA,Erasama,11,0184,3388
263,GANJAM,GANJAM,GANJAM,19,0331,3373
266,RAGHUNATHPUR,RAGHUNATHPUR,Raghunathpur,11,0186,3392
267,KALAMPUR,KALAMPUR,Kalampur,26,0418,3414
268,BHANJANAGAR,BHANJANAGAR,BHANJANAGAR,19,0321,3367
269,KARLAMUNDA,KARLAMUNDA,Karlamunda,26,0408,3415
270,SURADA,SURADA,SURADA,19,0324,3385
271,SHERAGADA,SHERAGADA,SHERAGADA,19,0339,3384
272,BISSAMCUTTACK,BISSAMCUTTACK,Bissamcuttack,27,0423,3547
273,BELAGUNTHA,BELAGUNTHA,BELAGUNTHA,19,0321,3366
274,PURUSOTTAMPUR,PURUSOTTAMPUR,PURUSOTTAMPUR,19,0336,3381
275,DIGAPAHANDI,DIGAPAHANDI,DIGAPAHANDI,19,0343,3372
276,BUGUDA,BUGUDA,BUGUDA,19,0319,3368
277,CHIKITI,CHIKITI,CHIKITI,19,0344,3370
278,DHARAKOTE,DHARAKOTE,DHARAKOTE,19,0326,3371
279,KABI SURYA NAGAR,KABI SURYA NAGAR,KABI SURYA NAGAR,19,0327,3376
281,RANGEILUNDA,RANGEILUNDA,RANGEILUNDA,19,0340,3382
282,KHALIKOTE,KHALIKOTE,KHALIKOTE,19,0330,3377
283,BEGUNIAPADA,BEGUNIAPADA,BEGUNIAPADA,19,0329,3365
284,KUKUDAKHANDI,KUKUDAKHANDI,KUKUDAKHANDI,19,0340,3378
285,CHATRAPUR,CHATRAPUR,CHATRAPUR,19,0332,3369
289,BHUBANESWAR,BHUBANESWAR,PHC Mendhasal,17,0302,3460
291,TANGI,TANGI,Tangi UGPHC,17,0299,3465
292,PATRAPUR,PATRAPUR,PATRAPUR,19,0345,3379
294,BANDHUGAON,BANDHUGAON,Bandhugaon,29,0453,3466
296,DASMANTAPUR,DASMANTAPUR,Dasmantapur,29,0450,3469
297,LAKSHMIPUR,LAKSHMIPUR,Lakshmipur,29,0451,3475
298,NARAYANPATNA,NARAYANPATNA,Narayanpatna,29,0452,3477
299,POTTANGI,POTTANGI,Pottangi,29,0466,3478
313,CHANDAHANDI,CHANDAHANDI,Chandahandi,28,0438,3513
315,DABUGAM,DABUGAM,Dabugam,28,0440,3514
316,JHARIGAM,JHARIGAM,Jharigam,28,0439,3515
317,BALIGUDA,BALIGUDA,Barakhama,21,0367,3422
