SID,VCode
10,1959
10,1986
10,2003
10,2004
10,2006
10,2023
10,2024
10,2058
38,10002569
38,10003403
38,10003414
38,10003418
38,10003463
38,10023948
38,10023949
38,10023950
40,27809
40,27814
40,27819
40,10003420
40,10003424
40,10003426
40,10003427
40,10003429
40,10023986
40,10023987
40,10023988
40,10023989
41,27818
41,10024856
41,10024857
41,10024859
41,10024860
42,27820
42,27821
42,27822
42,27826
42,27827
42,27829
42,10023888
42,10023951
42,10023952
42,10023953
43,27817
43,27830
43,10024861
43,10024862
43,10024863
43,10024865
43,10024867
43,10024868
43,10024869
43,10024870
44,27864
44,27885
44,27886
44,27887
44,27888
44,27889
44,10024871
44,10024872
45,27826
45,27831
45,27840
45,27841
45,27842
45,27843
45,27845
45,27848
45,27872
45,27965
45,10024874
45,10024875
45,10024876
45,10024879
45,10024880
45,10024881
45,10024882
46,27805
46,27810
46,27811
46,27812
46,27813
46,27815
46,27816
46,10024883
46,10024884
46,10024885
46,10024886
46,10024887
46,10024888
46,10024889
47,27803
47,27804
47,27806
47,27807
47,28006
47,10003436
47,10003685
47,10024890
47,10024891
47,10024892
48,27854
48,27855
48,27856
48,27857
48,27858
48,27859
48,27860
48,10024893
48,10024894
49,27891
49,27944
49,27945
49,27946
49,27947
49,10024895
49,10024897
49,10024903
49,10024905
49,10024909
50,27838
50,27839
50,27873
50,27874
50,27875
50,27876
50,27877
50,27878
50,27879
50,27880
50,10024913
50,10024914
50,10024916
50,10024918
50,10024919
50,10024922
50,10024924
50,10024926
50,10024930
51,27904
51,27905
51,10024932
51,10024966
51,10024969
52,27807
52,27808
52,27994
52,10003456
52,10003463
52,10003473
52,10003476
52,10024973
52,10024975
52,10024980
52,10024981
52,10024983
53,27832
53,27833
53,27834
53,27835
53,27836
53,27837
53,10025002
54,10002569
54,10025003
54,10025005
54,10025006
54,10025007
55,27883
55,27884
55,10003479
55,10003481
55,10003482
55,10003483
55,10003689
55,10025008
55,10025009
55,10025010
56,27846
56,27847
56,27861
56,27862
56,27863
56,27871
56,10025011
57,27824
57,27825
57,27849
57,27850
57,27851
57,27852
57,27853
57,10003484
57,10025012
57,10025013
57,10025014
58,27865
58,27866
58,27867
58,27868
58,27869
58,27870
58,27890
58,10025015
58,10025016
58,10025017
58,10025018
58,10025019
58,10025020
60,1615
60,1726
60,10016035
60,10016036
60,10016037
66,1612
66,1613
66,1614
66,10010539
67,1588
67,1589
67,10010604
67,10010606
71,1590
71,1591
71,1610
71,1611
71,1616
71,1617
74,1556
74,1580
74,1582
74,1583
74,1584
74,1585
74,1586
74,1587
81,1609
81,1618
81,1619
81,1620
81,1621
81,10010596
81,10010597
84,1579
84,1581
84,1592
84,1593
84,1594
84,10010599
86,27979
86,27980
86,27985
86,10003959
87,27939
87,27941
87,27942
87,27943
87,27948
87,27949
87,27950
88,27923
88,27924
88,27977
