SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000000,Do not delete it,Do not delete it,0,0,0,
10000005,Ghantarpali,Ghantarpali,0388,23,39222,419636
10000006,Hariharpur,Hariharpur,0387,23,39450,419576
10000007,Philtikira,Philtikira,0383,23,39889,419033
10000020,Appanaguga,appanaguda,0431,27,46092,426749
10000022,Donduguda,Donduguda,0431,27,46131,426788
10000023,Donduguda kudia,Donduguda kudia,0431,27,46131,426788
10000024,Marchaguda,Marchaguda,0433,27,45902,427096
10000025,Sandhikhola,Sandhikhola,0433,27,45899,427093
10000026,Dabuguda,Dabuguda,0431,27,46058,426715
10000027,Srambi,Srambi,0421,27,0,
10000028,Panchkodi,Panchkodi,0421,27,0,
10000029,Todali,Todali,0421,27,0,
10000030,Sutanguni,Sutanguni,0421,27,0,
10000032,Girijapanga,Girijapanga,0422,27,45104,425036
10000040,Gadapadar,Gadapadar,0422,27,45111,425043
10000043,Bandiponga,Bandiponga,0422,27,45105,425037
10000046,Baliguda,Baliguda,0433,27,45902,427096
10000047,Narayanguda,Narayanguda,0433,27,45900,427094
10000048,Mardiguda,Mardiguda,0433,27,45899,427093
10000049,Titiribandha,Titiribandha,0433,27,45903,427097
10000050,S. Ambakhola,S. Ambakhola,0433,27,45903,427097
10000051,K.Ambakhola,K.Ambakhola,0433,27,45903,427097
10000052,J.N.Pur,J.N.Pur,0432,27,45830,427024
10000053,Kadamguda,Kadamguda,0432,27,45831,427025
10000054,Muliguda,Muliguda,0432,27,45831,427025
10000055,Derigamguda,Derigamguda,0432,27,45831,427025
10000056,Ambilisu,Ambilisu,0432,27,45812,427006
10000057,Srikhandi,Srikhandi,0432,27,45814,427008
10000058,J.Totaguda,J.Totaguda,0432,27,45808,427002
10000059,Luhamunda,Luhamunda,0432,27,45808,427002
10000061,Ramaguda,Ramaguda,0433,27,45919,427113
10000062,Raghunathpur,Raghunathpur,0433,27,45927,427121
10000063,Maltipur,Maltipur,0433,27,45851,427045
10000064,Pujariguda,Pujariguda,0433,27,45897,427091
10000065,Ballabhpur,Ballabhpur,0433,27,45898,427092
10000066,Badanala,Badanala,0433,27,45879,427073
10000067,Dakarma,Dakarma,0433,27,45874,427068
10000068,Laxmanguda,Laxmanguda,0433,27,45938,427132
10000069,Jabarguda,Jabarguda,0433,27,45938,427132
10000070,Sikarpai,Sikarpai,0433,27,45936,427130
10000071,Limaguda,Limaguda,0432,27,45819,427013
10000072,Bandarguda,Bandarguda,0432,27,45830,427024
10000073,Sindhiguda,Sindhiguda,0432,27,45801,426995
10000074,B.Totaguda,B.Totaguda,0432,27,45801,426995
10000075,Durughati,Durughati,0432,27,45801,426995
10000076,Jhumuruguda,Jhumuruguda,0433,27,45925,427119
10000078,Tidagudi,Tidagudi,0422,27,45248,425065
10000081,Ankanaguda,Ankanaguda,0422,27,45264,425081
10000082,Galamguda,Galamguda,0422,27,45264,425081
10000083,Nehrupanga,Nehrupanga,0422,27,45267,425084
