TCode,ID,Name_G,Name_E,DCode,MDDS_Code,IsVerified
0001,204,Karanpur,Karanpur,1,457,True
0002,203,Ganganagar,Ganganagar,1,458,True
0003,202,Sadulshahar,Sadulshahar,1,459,True
0004,119,Padampur,Padampur,1,460,True
0005,225,Raisinghnagar,Raisinghnagar,1,461,True
0006,118,Anupgarh,Anupgarh,1,462,True
0007,117,Gharsana,Gharsana,1,463,True
0008,116,Vijainagar,Vijainagar,1,464,True
0009,115,Suratgarh,Suratgarh,1,465,True
0010,114,Sangaria,Sangaria,2,466,True
0011,113,Tibi,Tibi,2,467,True
0012,112,Hanumangarh,Hanumangarh,2,468,True
0013,111,Pilibanga,Pilibanga,2,469,True
0014,110,Rawatsar,Rawatsar,2,470,True
0015,244,Nohar,Nohar,2,471,True
0016,243,Bhadra,Bhadra,2,472,True
0017,241,Bikaner,Bikaner,3,473,True
0018,242,Poogal,Poogal,3,474,True
0019,240,Lunkaransar,Lunkaransar,3,475,True
0020,239,Kolayat,Kolayat,3,476,True
0021,238,Nokha,Nokha,3,477,True
0022,236,Khajuwala,Khajuwala,3,478,True
0023,237,Chhatargarh,Chhatargarh,3,479,True
0024,235,Sridungargarh,Sridungargarh,3,480,True
0025,233,Taranagar,Taranagar,4,481,True
0026,234,Rajgarh,Rajgarh,4,482,True
0027,232,Sardarshahar,Sardarshahar,4,483,True
0028,231,Churu,Churu,4,484,True
0029,230,Ratangarh,Ratangarh,4,485,True
0030,229,Sujangarh,Sujangarh,4,486,True
0031,228,Jhunjhunun,Jhunjhunun,5,487,True
0032,227,Chirawa,Chirawa,5,488,True
0033,226,Buhana,Buhana,5,489,True
0034,109,Khetri,Khetri,5,490,True
0035,108,Nawalgarh,Nawalgarh,5,491,True
0036,107,Udaipurwati,Udaipurwati,5,492,True
0037,106,Behror,Behror,6,493,True
0038,105,Mandawar,Mandawar,6,494,True
0039,104,Kotkasim,Kotkasim,6,495,True
0040,103,Tijara,Tijara,6,496,True
0041,102,Kishangarh Bas,Kishangarh Bas,6,497,True
0042,101,Ramgarh,Ramgarh,6,498,True
0043,100,Alwar,Alwar,6,499,True
0044,99,Bansur,Bansur,6,500,True
0045,98,Thanagazi,Thanagazi,6,501,True
0046,97,Rajgarh,Rajgarh,6,502,True
0047,96,Lachhmangarh,Lachhmangarh,6,503,True
0048,95,Kathumar,Kathumar,6,504,True
0049,94,Pahari,Pahari,7,505,True
0050,93,Kaman,Kaman,7,506,True
0051,92,Nagar,Nagar,7,507,True
0052,91,Deeg,Deeg,7,508,True
0053,90,Nadbai,Nadbai,7,509,True
0054,89,Kumher,Kumher,7,510,True
0055,88,Bharatpur,Bharatpur,7,511,True
0056,87,Weir,Weir,7,512,True
0057,86,Bayana,Bayana,7,513,True
0058,85,Rupbas,Rupbas,7,514,True
0059,84,Baseri,Baseri,8,515,True
0060,83,Bari,Bari,8,516,True
0061,82,Sepau,Sepau,8,517,True
0062,81,Dhaulpur,Dhaulpur,8,518,True
0063,80,Rajakhera,Rajakhera,8,519,True
0064,78,Todabhim,Todabhim,9,520,True
0065,79,Nadoti,Nadoti,9,521,True
0066,77,Hindaun,Hindaun,9,522,True
0067,76,Karauli,Karauli,9,523,True
0068,74,Mandrail,Mandrail,9,524,True
0069,75,Sapotra,Sapotra,9,525,True
0070,73,Gangapur,Gangapur,10,526,True
0071,72,Bamanwas,Bamanwas,10,527,True
0072,70,Malarna Doongar,Malarna Doongar,10,528,True
0073,71,Bonli,Bonli,10,529,True
0074,69,Chauth Ka Barwara,Chauth Ka Barwara,10,530,True
0075,68,Sawai Madhopur,Sawai Madhopur,10,531,True
0076,67,Khandar,Khandar,10,532,True
0077,66,Baswa,Baswa,11,533,True
0078,224,Mahwa,Mahwa,11,534,True
0079,223,Sikrai,Sikrai,11,535,True
0080,222,Dausa,Dausa,11,536,True
0081,221,Lalsot,Lalsot,11,537,True
0082,220,Kotputli,Kotputli,12,538,True
0083,219,Viratnagar,Viratnagar,12,539,True
0084,218,Shahpura,Shahpura,12,540,True
0085,216,Chomu,Chomu,12,541,True
0086,217,Phulera (Hq.Sambhar),Phulera (Hq.Sambhar),12,542,True
0087,215,Mauzamabad),Mauzamabad),12,543,True
0088,214,Phagi,Phagi,12,544,True
0089,213,Sanganer,Sanganer,12,545,True
0090,212,Jaipur,Jaipur,12,546,True
0091,211,Amber,Amber,12,547,True
0092,210,Jamwa Ramgarh,Jamwa Ramgarh,12,548,True
0093,209,Bassi,Bassi,12,549,True
0094,208,Chaksu,Chaksu,12,550,True
0095,207,Fatehpur,Fatehpur,13,551,True
0096,206,Lachhmangarh,Lachhmangarh,13,552,True
0097,205,Sikar,Sikar,13,553,True
0098,201,Danta Ramgarh,Danta Ramgarh,13,554,True
0099,200,Sri Madhopur,Sri Madhopur,13,555,True
0100,199,Neem-Ka-Thana,Neem-Ka-Thana,13,556,True
0101,198,Ladnu,Ladnu,14,557,True
0102,197,Didwana,Didwana,14,558,True
0103,196,Jayal,Jayal,14,559,True
0104,195,Nagaur,Nagaur,14,560,True
0105,194,Kheenvsar,Kheenvsar,14,561,True
0106,193,Merta,Merta,14,562,True
0107,192,Degana,Degana,14,563,True
0108,191,Parbatsar,Parbatsar,14,564,True
0109,190,Makrana,Makrana,14,565,True
0110,189,Nawa,Nawa,14,566,True
0111,188,Phalodi,Phalodi,15,567,True
0112,65,Osian,Osian,15,568,True
0113,64,Bhopalgarh,Bhopalgarh,15,569,True
0114,63,Jodhpur,Jodhpur,15,570,True
0115,62,Shergarh,Shergarh,15,571,True
0116,61,Luni,Luni,15,572,True
0117,60,Bilara,Bilara,15,573,True
0118,59,Jaisalmer,Jaisalmer,16,574,True
0119,58,Pokaran,Pokaran,16,575,True
0120,57,Fatehgarh,Fatehgarh,16,576,True
0121,56,Sheo,Sheo,17,577,True
0122,55,Baytoo,Baytoo,17,578,True
0123,187,Pachpadra,Pachpadra,17,579,True
0124,186,Siwana,Siwana,17,580,True
0125,185,Gudha Malani,Gudha Malani,17,581,True
0126,184,Barmer,Barmer,17,582,True
0127,183,Ramsar,Ramsar,17,583,True
0128,182,Chohtan,Chohtan,17,584,True
0129,180,Sayla,Sayla,18,585,True
0130,181,Ahore,Ahore,18,586,True
0131,179,Jalor,Jalor,18,587,True
0132,178,Bhinmal,Bhinmal,18,588,True
0133,176,Bagora,Bagora,18,589,True
0134,177,Sanchore,Sanchore,18,590,True
0135,174,Raniwara,Raniwara,18,591,True
0136,175,Sheoganj,Sheoganj,19,592,True
0137,172,Sirohi,Sirohi,19,593,True
0138,173,Pindwara,Pindwara,19,594,True
0139,171,Abu Road,Abu Road,19,595,True
0140,170,Reodar,Reodar,19,596,True
0141,54,Jaitaran,Jaitaran,20,597,True
0142,52,Raipur,Raipur,20,598,True
0143,53,Sojat,Sojat,20,599,True
0144,51,Rohat,Rohat,20,600,True
0145,50,Pali,Pali,20,601,True
0146,49,Marwar Junction,Marwar Junction,20,602,True
0147,48,Desuri,Desuri,20,603,True
0148,47,Sumerpur,Sumerpur,20,604,True
0149,46,Bali,Bali,20,605,True
0150,45,Kishangarh,Kishangarh,21,606,True
0151,44,Ajmer,Ajmer,21,607,True
0152,42,Peesangan,Peesangan,21,608,True
0153,43,Beawar,Beawar,21,609,True
0154,41,Masuda,Masuda,21,610,True
0155,40,Nasirabad,Nasirabad,21,611,True
0156,38,Bhinay,Bhinay,21,612,True
0157,39,Sarwar,Sarwar,21,613,True
0158,37,Kekri,Kekri,21,614,True
0159,36,Malpura,Malpura,22,615,True
0160,35,Peeplu,Peeplu,22,616,True
0161,34,Niwai,Niwai,22,617,True
0162,33,Tonk,Tonk,22,618,True
0163,32,Todaraisingh,Todaraisingh,22,619,True
0164,31,Deoli,Deoli,22,620,True
0165,30,Uniara,Uniara,22,621,True
0166,29,Hindoli,Hindoli,23,622,True
0167,169,Nainwa,Nainwa,23,623,True
0168,168,Indragarh,Indragarh,23,624,True
0169,167,Keshoraipatan,Keshoraipatan,23,625,True
0170,166,Bundi,Bundi,23,626,True
0171,165,Asind,Asind,24,627,True
0172,164,Hurda,Hurda,24,628,True
0173,163,Shahpura,Shahpura,24,629,True
0174,162,Banera  ,Banera  ,24,630,True
0175,161,Mandal  ,Mandal  ,24,631,True
0176,160,Raipur,Raipur,24,632,True
0177,159,Sahara,Sahara,24,633,True
0178,158,Bhilwara,Bhilwara,24,634,True
0179,157,Kotri,Kotri,24,635,True
0180,156,Jahazpur,Jahazpur,24,636,True
0181,155,Mandalgarh,Mandalgarh,24,637,True
0182,154,Beejoliya,Beejoliya,24,638,True
0183,153,Bhim,Bhim,25,639,True
0184,152,Deogarh,Deogarh,25,640,True
0185,151,Amet,Amet,25,641,True
0186,150,Kumbhalgarh,Kumbhalgarh,25,642,True
0187,149,Rajsamand,Rajsamand,25,643,True
