BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
1,Srinagar,श्रीनगर	,Srinagar,21,0155,573
2,Pisangan,पीसांगन	,Pisangan,21,0152,572
3,Kishangarh,किशनगढ	,Kishangarh,21,0150,
4,Masooda,मसूदा	,Masooda,21,0154,571
5,Arain,अरॉई,Arain,21,0150,566
6,Bhinai,भिनाय	,Bhinai,21,0156,
7,Kekri,केकडी	,Kekri,21,0158,569
8,Jawaja,जवाजा	,Jawaja,21,0153,568
9,Asind,आसीन्‍द,Asind,24,0171,620
10,Gulabpura,गुलाबपुरा,Gulabpura,24,0172,
11,Shahpura,शाहपुरा	,Shahpura,24,0173,629
12,Jahazpur,जहाजपुर,Jahazpur,24,0180,623
13,Banera,बनेडा	,Banera,24,0174,621
14,Mandal,माण्‍डल,Mandal,24,0175,625
15,Raipur,रायपुर	,Raipur,24,0176,627
16,Sahara,सहाड्रा	,Sahara,24,0177,628
17,Suwana,सुवाणा	,Suwana,24,0178,630
18,Kotri,कोटडी ,Kotri,24,0179,624
19,Mandalgarh,माण्‍डलगढ्,Mandalgarh,24,0181,626
20,Ladnu,लाडनूं,Ladnu,14,0101,744
21,Deedwana,डीडवाना ,Deedwana,14,0102,
22,Jayal,जायल	,Jayal,14,0103,742
23,Nagaur,नागौर,Nagaur,14,0104,748
24,Mundwa,मूण्‍डवा,Mundwa,14,0004,747
25,Merta,मेडता,Merta,14,0106,746
26,Degana,डेगाना	,Degana,14,0107,740
27,Riyan Bari,रिंयाबडी,Riyan Bari,14,0006,750
28,Makrana,मकराना,Makrana,14,0109,745
29,Parbatsar,परबतसर,Parbatsar,14,0108,749
30,Kuchaman City,कुचामन सिटी,Kuchaman City,14,0010,
31,Malpura,मालपुरा	,Malpura,22,0159,787
32,Newai,निवाई	,Newai,22,0161,788
33,Todaraisingh,टोडारायसिंह	,Todaraisingh,22,0163,789
34,Tonk,टोंक	,Tonk,22,0162,790
35,Deoli,देवली,Deoli,22,0164,786
