TCode,Name_E,Name_G,BID
0155,Srinagar,श्रीनगर	,1
0152,Pisangan,पीसांगन	,2
0150,Kishangarh,किशनगढ	,3
0154,Masooda,मसूदा	,4
0150,Arain,अरॉई,5
0156,Bhinai,भिनाय	,6
0158,Kekri,केकडी	,7
0153,Jawaja,जवाजा	,8
0171,Asind,आसीन्‍द,9
0172,Hurda,हुरडा,10
0173,Shahpura,शाहपुरा	,11
0180,Jahazpur,जहाजपुर,12
0174,Banera,बनेडा	,13
0175,Mandal,माण्‍डल,14
0176,Raipur,रायपुर	,15
0177,Sahara,सहाड्रा	,16
0178,Suwana,सुवाणा	,17
0179,Kotri,कोटडी ,18
0181,Mandalgarh,माण्‍डलगढ्,19
0101,Ladnu,लाडनूं,20
0102,Deedwana,डीडवाना ,21
0103,Jayal,जायल	,22
0104,Nagaur,नागौर,23
0004,Mundwa,मूण्‍डवा,24
0106,Merta,मेडता,25
0107,Degana,डेगाना	,26
0006,Riyan Bari,रिंयाबडी,27
0109,Makrana,मकराना,28
0108,Parbatsar,परबतसर,29
0010,Kuchaman City,कुचामन सिटी,30
0159,Malpura,मालपुरा	,31
0161,Newai,निवाई	,32
0163,Todaraisingh,टोडारायसिंह	,33
0162,Tonk,टोंक	,34
0164,Deoli,देवली,35
0165,Uniara,उनियारा,36
0046,Kherli Mandi,खेडली मण्‍डी,37
0046,Reni,रैणी,38
0042,Ramgarh,रामगढ,39
0044,Bansur,बानसूर ,40
0041,Kishangarhbas,किशनगढबास	,41
0046,Rajgarh,राजगढ,42
0037,Behror,बहरोड	,43
0047,Laxmangarh,लक्ष्‍मणगढ	,44
0045,Thanagazi,थानागाजी,45
0039,Kotkasim,कोटकासिम	,46
0040,Tijara,तिजारा,47
0048,Shahjanpur,शाहजापुर,48
0038,Mundawar,मुण्‍डावर,49
0043,Malakhera,मालाखेडा,50
0077,Bandikui,बादीकुई	,51
0080,Dausa,दौसा	,52
0079,Sikrai,सिकराय	,53
0078,Mahwa,महवा	,54
0081,Lalsot,लालसोट,55
0082,Kotputli,कोटपुतली	,56
0083,Viratnagar,विराटनगर	,57
0084,Shahpura,शाहपुरा	,58
0085,Govindgarh,गोविन्दगढ	,59
0090,Jhotwara,झोटवाडा	,60
0091,Amber,आमेर	,61
0092,Jamwa Ramgarh,जमवा रामगढ	,62
0031,Jhunjhunu,झुन्‍झुनू,63
0031,Malsisar,मलसीसर,64
0032,Chirawa,चिडावा,65
0032,Surajgarh,सुरजगढ,66
0033,Buhana,बुहाना,67
0034,Khetri,खेतडी,68
0035,Nawalgarh,नवलगढ,69
0036,Udaipurwati,उदयपुरवाटी,70
0095,Fatehpur,फतेहपुर,71
0096,Laxmangarh,लक्ष्मणगढ ,72
0097,Kudan,कूदन ,73
0100,Neem Ka Thana,नीम का थाना ,74
0099,Sri Madhopur,श्रीमाधोपुर ,75
0098,Khandela,खंण्डेला ,76
0097,Piprali,पीपराली ,77
0095,Danta,दॉता,78
0086,Sambhar,सांभर,79
0087,Dudu,दूदू	,80
0088,Phagi,फागी,81
0089,Sanganer,सांगानेर,82
0093,Bassi,बस्‍सी	,83
0094,Chaksu,चाकसु,84
0215,Anta,अन्‍ता ,85
0219,Shahbad,शाहबाद	,86
0220,Chhabra,छबडा	,87
0217,Atru,अटरू	,88
0221,Chhipabaro,छीपाबडौद,89
0216,Baran,बारां,90
0218,Kishanganj,किशनगंज,91
0166,Hindoli,हि‍ण्‍डौली,92
0167,Nainwa,नैनवां,93
0169,Kapran,कापरान,94
0168,Talera,तालेडा,95
0170,Bundi,बूंदी,96
0222,Khanpur,खानपूर,97
0223,Jhalrapatan,झालरापाटन,98
0223,Bakani,बकानी,99
0225,Manoharthana,मनोहरथाना,100
0228,Dag,डग,101
0227,Pirawa,पिडावा,102
0211,Ladpura,लाडपुरा,103
0213,Sangod,सागोंद,104
0210,Sultanpur,सुलतानपुर,105
0209,Itawa,इटावा,106
0212,Chechat (Khairabad),चेचट ,107
0121,Sheo,शिव,108
0122,Baytu,बायतु,109
0123,Balotra,बालोतरा,110
0126,Barmer,बाडमेर,111
0128,Chohtan,चौहटन,112
0124,Sindhary,सिन्‍धरी,113
0125,Dhorimana,धौरीमन्‍ना,114
0124,Siwana,सिवाना,115
0118,Jaisalmer,जैसलमेर	,116
0119,Pokaran,पोकरण	,117
0118,Ramgarh,रामगढ	,118
0003,Jalore,जालोर,119
0129,Sayla,सायला,120
0130,Ahore,आहोर,121
0135,Raniwara,रानीवाडा,122
0134,Sanchore,सांचोर	,123
0132,Bhinmal,भीनमाल,124
0132,Jaswantpura,जसवंतपुरा ,125
0134,Chitalwana,चितालवाना,126
0111,Phalodi,फलौदी	,127
0111,Bap,बाप,128
0112,Osian,ओसिंया,129
0113,Bhopalgarh,भोपालगढ़,130
0115,Shergarh,शेरगढ	,131
0111,Balesar,बालेसर,132
0114,Mandor,मण्‍डोर,133
0116,Luni,लूनी,134
0117,Bilara,बिलाडा,135
0112,Bawri,बावड़ी ,136
0141,Jaitaran,जैतारण,137
0142,Raipur,रायपुर,138
0143,Sojat,सोजत,139
0145,Pali,पाली,140
0144,Rohat,रोहट,141
0146,Kharchi,खारची,142
0147,Desuri,देसुरी,143
0150,Rani Station,रानी स्‍टेशन,144
0149,Bali,बाली,145
0148,Sumerpur,सुमेरपुर,146
0136,Sheoganj,शिवगंज,147
0137,Sirohi,सिरोही,148
0138,Pindwara,पिण्‍डवाडा,149
0139,Abu Road,आबूरोड	,150
0140,Reodar,रेवदर,151
0194,Ghatol,घाटोल,152
0195,Partapur,परतापुर,153
0196,Choti Sarwan,छोटी सरवन,154
0197,Bagidora,बागीदौरा,155
0198,Kushalgarh,कुशलगढ्,156
0197,Chota Dungara,छोटा डुँगरा,157
0196,Talwara,तलवाडा,158
0197,Anandpuri,आन्‍नदपुरी,159
0199,Rashmi,राशमी,160
0200,Gangrar,गंगरार,161
0201,Begun,बैंगू ,162
0202,Rawatbhata,रावतभाटा	,163
0000,Chittorgarh,चित्‍तौडगढ	,164
0204,Kapasan,कपासन,165
0204,Bhopalsagar,भूपालसागर ,166
0205,Dungla,डूंगला	,167
0206,Bhadesar,भदेसर ,168
0207,Nimbahera,निम्‍बाहेडा,169
0208,Bari Sadri,बडी सादडी ,170
0190,Dungarpur,डूंगरपुर,171
0191,Aspur,आसपुर,172
0192,Sagwara,सागवाडा,173
0193,Simalwara,सिमलवाडा,174
0190,Bichiwara,बिछिवाडा,175
0185,Amet,आमेट	,176
0183,Bhim,भीम,177
0184,Deogarh,देवगढ,178
0189,Khamnor,खमनोर,179
0186,Kumbhalgarh,कुम्‍भलगढ,180
0187,Rajsamand,राजसमन्‍द,181
0188,Railmagra,रेलमगरा,182
0231,Kotra,कोटडा	,183
0233,Girwa,गिर्वा,184
0236,Salumbar,सलूम्‍बर,185
0200,Bargaon,बडगांव,186
0235,Lasadia,लसाडिया,187
0230,Gogunda,गोगून्‍दा,188
0237,Sarada,सराडा,189
0232,Jhadol,झाडोल,190
0234,Bhinder,भीण्‍डर,191
0239,Kherwara,खैरवाडा,192
0229,Mavli,मावली,193
0238,Rishabdev,ऋषबदेव,194
0240,Dhariawad,धरि‍यावद	,195
0242,Chhoti Sadri,छोटी सादडी,196
0243,Pratapgarh,प्रतापगढ	,197
