PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
1,Shrinagar,श्रीनगर	,,21,0155,1,,,2,0,False
2,Tihari,तिहारी	,,21,0155,1,,,1,0,False
3,Ramsar,रामसर	,,21,0155,1,,,1,0,False
4,Gangwana,गगवाना	,,21,0151,1,,,2,0,False
5,Govt Hospital Nasirabad,राजकीय चिकित्‍सालय नसीराबाद	,,21,0155,1,,,4,0,False
6,Baghsuri,बाघसूरी,,21,0155,2,,,1,0,False
7,Saradhna,सराधना,,21,0153,2,,,1,0,False
8,Jethana,जेठाना,,21,0152,2,,,1,0,False
9,Karnoj,करनोस,,21,0152,2,,,1,0,False
10,Nagelav,नागेलाव,,21,0152,2,,,1,0,False
11,Budhwara,बुधवाडा,,21,0152,2,,,1,0,False
12,Dantra,दांतडा,,21,0152,2,,,1,0,False
13,Govindgarh,गोविन्‍दगढ,,21,0152,2,,,1,0,False
14,Kadel,कडेल,,21,0151,2,,,1,0,False
15,Pisangan,पीसांगन,,21,0152,2,,,2,0,False
16,Pushkar,पुष्‍कर	,,21,0151,2,,,2,0,False
17,Rupangarh,रूपनगढ	,,21,0150,3,,,2,0,False
18,Bhandun,भदून	,,21,0150,3,,,1,0,False
19,Harmara,हरमाडा	,,21,0150,3,,,2,0,False
20,Kuchil,कुचील	,,21,0150,3,,,1,0,False
21,Karkedi,करकेडी,,21,0150,3,,,1,0,False
22,Y N Hospital Kishangarh,यज्ञ नारायण चिकित्‍सालय किशनगढ	,,21,0150,3,,,4,0,False
23,Kharwa,खरवा	,,21,0154,4,,,1,0,False
24,Kirap,किराप,,21,0154,4,,,1,0,False
25,Jamola,जामोला	,,21,0154,4,,,1,0,False
26,Jaliya II,जालिया द्वितीय,,21,0154,4,,,1,0,False
27,Ramgarh,रामगढ,,21,0154,4,,,1,0,False
28,Masuda,मसूदा,,21,0154,4,,,2,0,False
29,Vijaynagar,विजयनगर,,21,0000,4,,,2,0,False
30,Jhirota,झिरोता	,,21,0150,5,,,1,0,False
31,Gothiyana,गोठियाना,,21,0150,5,,,1,0,False
32,Borada,बोराडा	,,21,0157,5,,,2,0,False
33,Fatehgarh,फतेहगढ	,,21,0157,5,,,1,0,False
34,Hingoniya,हिंगोनिया	,,21,0157,5,,,1,0,False
35,Dadia,दादिया	,,21,0150,5,,,1,0,False
36,Arain,अरॉई,,21,0150,5,,,2,0,False
37,Sarwar,सरवाड,,21,0157,5,,,2,0,False
38,Badali,बडली	,,21,0156,6,,,1,0,False
39,Shingawal,सिगावल	,,21,0156,6,,,1,0,False
40,Tantoti,टांटोटी	,,21,0157,6,,,2,0,False
41,Sarana,सराना	,,21,0157,6,,,1,0,False
42,Devliyakalan,देवलियॉकला	,,21,0156,6,,,1,0,False
43,Bandanwara,बां‍दनवाडा	,,21,0156,6,,,2,0,False
44,Bhinay,भिनाय ,,21,0156,6,,,2,0,False
45,Kadera,कादेडा,,21,0158,7,,,2,0,False
46,Junia,जूनिया,,21,0158,7,,,1,0,False
47,Para,पारा,,21,0158,7,,,1,0,False
