SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
6183,Bamnor Bhanwarshah,बामणोर भंवरशाह,2324,0128,17,,,0,0
6184,NOTIONAL Piprali,पीपराली,1093,0125,17,,,0,0
6185,Berdo Ka Pana,बेरडो का पाना	,1093,0125,17,,,0,0
6186,Puja Bari,पूंजाबेरी	,1093,0125,17,,,0,0
6188,Alamsariya,आलमसरिया,2460,0125,17,,,0,0
6189,Bhalikhal,भालीखल	,2459,0125,17,,,0,0
6192,Koshle Ki Dhani,कोशले की ढाणी	,2460,0125,17,,,0,0
6193,Sanawara Kalan,सनावडा कंलान	,2458,0125,17,,,0,0
6194,NOTIONAL Gandhav Khurd,गांधव खुर्द,1094,0125,17,,,0,0
6195,Ramji Ka Gol,रामजी का गोल	,1094,0125,17,,,0,0
6196,Boarcharanan,बोरचारणान,1094,0125,17,,,0,0
6198,Daboi,दबोई,1094,0125,17,,,0,0
6199,Berigoan,बेरीगांव	,1094,0125,17,,,0,0
6200,NOTIONAL Sonadi,सोनडी,1095,0126,17,,,0,0
6201,Kartiya,कर‍टिया,2461,0128,17,,,0,0
6202,Shobhala Darshan,शौभाला दर्शन,1095,0128,17,,,0,0
6203,Ranaser,रानासर,1095,0121,17,,,0,0
6204,Koliyana,कोलियाना,1095,0125,17,,,0,0
6205,Bhagbhare Ki Beri,भागभरे की बेरी,1095,0125,17,,,0,0
6206,Akal,आकल	,2461,0128,17,,,0,0
6207,Kekad,केकड,1095,0128,17,,,0,0
6208,Rohila West,रो‍हिला पश्चिम,1095,0128,17,,,0,0
6209,NOTIONAL Ogala,औगाला,1096,0128,17,,,0,0
6211,Bherudi,भैरूडी,1096,0128,17,,,0,0
6212,Khari,खारी,1096,0125,17,,,0,0
6213,Kabuli,कबूली,1096,0125,17,,,0,0
6214,Chal Kana,चलकाना,1096,0128,17,,,0,0
6215,Borla Jatan,बोरला जाटान	,1096,0128,17,,,0,0
6216,Pipli Beri,पीपली बेरी	,2461,0128,17,,,0,0
6217,NOTIONAL Gangasara,गंगासरा,1097,0128,17,,,0,0
6218,Gora,गोडा,1097,0128,17,,,0,0
6219,Bandha,बांधा	,1097,0121,17,,,0,0
6220,Bandhaniya,बंधानिया	,1097,0128,17,,,0,0
6221,NOTIONAL Bhedana,भेडाना,1098,0125,17,,,0,0
6222,Goliya Kalan,गोलिया कंलान	,1098,0125,17,,,0,0
6223,Lunwa Jagir,लूणवा जागीर,1098,0125,17,,,0,0
6224,Devnagar,देवनगर	,1098,0124,17,,,0,0
6065,Karna,करना,1090,0125,17,,,0,0
6066,Dandali,डण्‍डाली,1090,0125,17,,,0,0
6067,Kamthai,कमठाई,1090,0125,17,,,0,0
6068,Takooberi,टाकूबेरी,1090,0125,17,,,0,0
6069,Dhanne Ki Dhani,धने की ढाणी,1090,0125,17,,,0,0
6070,Sindhari Charnan,सिन्धरि,1090,0125,17,,,0,0
6071,Nakoda,नकोद,1090,0125,17,,,0,0
6072,Add Sindhary,अद्द सिन्धर्य्,1090,0125,17,,,0,0
6088,Dhola Nada,धोला नाडा,2323,0122,17,,,0,0
6089,Nehro Ki Dhani,नेहरो की ढाणी,2323,0125,17,,,0,0
6101,Jali Khera,जाली खेडा,2478,0125,17,,,0,0
6116,Joona Mitha Khera,जूना मीठा खेडा,2477,0125,17,,,0,0
6117,Bamni,बम्नि,2477,0125,17,,,0,0
6118,Gala Nadi,गलनदि,2477,0125,17,,,0,0
6119,Goliya Maecha,गोलिय महेचा,2477,0125,17,,,0,0
6120,NOTIONAL Chawa,चवा,1087,0126,17,,,0,0
6121,Rawatser,रावतसर,2475,0121,17,,,0,0
6122,Kerli,केरली,1087,0126,17,,,0,0
6123,Ghonri Nadi,घोंरि नदि,2475,0123,17,,,0,0
6124,NOTIONAL Nokhra,नोखडा,1088,0125,17,,,0,0
6125,Goliya Jetmal,गोलिया जैतमाल,1088,0125,17,,,0,0
6126,Shobhala Jetmal,शोभाला जैतमाल,1088,0125,17,,,0,0
6127,Mehloo,मेहलू,1088,0125,17,,,0,0
6128,Maalpura,मालपूरा,1088,0125,17,,,0,0
6129,Band,बाड,2323,0125,17,,,0,0
6130,Chhotu,छोटू,2323,0125,17,,,0,0
6131,Ranasar Khurd,राणासर खुर्द,2323,0125,17,,,0,0
6132,Nokh,नोख,1088,0126,17,,,0,0
6133,Bakhse Ka Tala,बक्‍से का तला,1088,0126,17,,,0,0
6134,Kagau,कगाउ,1088,0126,17,,,0,0
6135,Khadali Nadi,खदलि नदि,2323,0125,17,,,0,0
6136,Khudasa,खुदस,1088,0126,17,,,0,0
6137,NOTIONAL Nosar,नोसर,1089,0122,17,,,0,0
