BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
1,Hawalbagh,Hawalbagh,,9,0053,357
2,Tarikhet,Ranikhet,,9,0051,362
3,Takula,Takula,,9,0054,361
4,Lamgara,Lamgara,,9,0055,358
5,Dhauladevi,Dhauladevi,,9,0056,355
6,Bhasiyachana,Bhasiyachana,,9,0053,352
7,Syalde (Deghat),Syalde (Deghat),,9,0048,360
8,Salt,Salt,,9,0050,359
9,Dwarahat,Dwarahat,,9,0052,356
10,Chaukhutiya,Chaukhutiya,,9,0049,354
11,Bhikiyasain,Bhikiyasain,,9,0048,353
12,Bageshwar,Bageshwar,,8,0046,363
13,Kapkot,Kapkot,,8,0044,365
15,Joshimath,Joshimath,,2,0007,370
16,Karnaprayag,Karnaprayag,,2,0010,371
17,Pokhari,Pokhari,,2,0009,373
18,Tharali,Tharali,,2,0011,374
19,Gairsain,Gairsain,,2,0012,368
20,Narayanbagar,Narayanbagar,,2,0011,372
21,Dewal,Dewal,,2,0011,367
22,Lohaghat,Lohaghat,,10,0059,377
23,Pati,Pati,,10,0058,378
24,Barakot,Barakot,,10,0059,375
27,Bhagwanpur,Bhagwanpur,,13,0076,386
28,Narsan,Narsan,,13,0076,389
30,Bahadrabad,Bahadrabad,,13,0077,385
31,Laksar,Laksar,,13,0078,388
32,Khanpur,Khanpur,,13,0078,387
36,DHARI,DHARI,,11,0064,393
37,BHIMTAL,BHIMTAL,,11,0063,392
38,BAITALGHAT,BAITALGHAT,,11,0062,391
39,BAILPARAV,BAILPARAV,,11,0066,
40,MOTAHALDU,MOTAHALDU,,11,0065,
41,OKHALKANDA,OKHALKANDA,,11,0064,396
42,RAMGARH,RAMGARH,,11,0064,397
43,KOTABHAG,KOTABHAG,,11,0067,395
46,Bin,Bin,,7,0043,421
47,Munakot,Munakot,,7,0043,419
48,Kanalichhina,Kanalichhina,,7,0040,418
49,Berinag,Berinag,,7,0041,414
50,Didihat,Didihat,,7,0040,416
51,Dharchula,Dharchula,,7,0039,415
52,Munsyari,Munsyari,,7,0038,420
53,Gangolihat,Gangolihat,,7,0042,417
54,Chamba,Chamba,,4,0020,426
55,Narandranagar,Narandranagar,,4,0022,431
56,Devprayag,Devprayag,,4,0017,427
57,Bhalanga,Bhalanga,,4,0016,425
58,Jaunpur,Jaunpur,,4,0021,429
59,Thauldhar,Thauldhar,,4,0020,433
60,Pratapnagar,Pratapnagar,,4,0018,432
61,Jakhanidhar,Jakhanidhar,,4,0019,428
62,Kirtinagar,Kirtinagar,,4,0017,430
66,Kashipur,Kashipur,,12,0069,437
67,Khatima,Khatima,,12,0075,438
68,Sitarganj,Sitarganj,,12,0074,440
69,Gadarpur,Gadarpur,,12,0073,435
70,Bazpur,Bazpur,,12,0071,434
71,Jaspur,Jaspur,,12,0070,436
72,Bhatwari,Bhatwari,,1,0006,441
73,Garud-Baijnath,Garud-Baijnath,,8,0047,
74,Dasholi,Dasholi,,2,0008,366
75,Raipur,Raipur,,5,0027,382
76,Doiwala,Doiwala,,5,0028,380
77,Sahaspur,Sahaspur,,5,0027,383
78,Vikas Nagar,Vikas Nagar,,5,0026,384
79,Kalsi,Kalsi,,5,0025,381
80,Chakrata,Chakrata,,5,0023,379
81,Ghat,Ghat,,2,0008,369
82,Champawat,Champawat,,10,0060,376
83,Pauri,Pauri,,6,0030,408
84,Kot,Kot,,6,0030,405
85,Pabau,Pabau,,6,0030,407
86,Kaljikhal,Kaljikhal,,6,0030,403
87,Khirshu,Khirshu,,6,0029,404
88,Ekeshwar(chandkot),Ekeshwar(chandkot),,6,0035,402
89,Jaihrikhal,Jaihrikhal,,6,0033,413
90,Dwarikhal,Dwarikhal,,6,0034,401
91,Pokhra,Pokhra,,6,0034,409
92,Dugadda,Dugadda,,6,0036,400
93,Thalisain,Thalisain,,6,0031,411
94,Bironkhal,Bironkhal,,6,0031,399
95,Rikhnikhal,Rikhnikhal,,6,0033,410
96,Yamkeshwar,Yamkeshwar,,6,0037,412
97,Nainidanda,Nainidanda,,6,0032,406
98,Augustmuni,Augustmuni,,3,0013,422
99,Jakholi,Jakholi,,3,0015,423
100,Ukhimath,Ukhimath,,3,0014,424
101,Chinyalisour,Chinyalisour,,1,0005,442
102,Dunda,Dunda,,1,0004,443
103,Mori,Mori,,1,0002,444
104,Purola,Purola,,1,0001,446
105,Naugaon,Naugaon,,1,0003,445
106,Imlikheda(Roorkee),Imlikheda(Roorkee),,13,0076,390
109,Rudrapur,Rudrapur,Kichha,12,0072,439
