TCode,Name_E,Name_G,BID
0053,Almora,Almora,1
0048,Bhikiasain(0048),Bhikiasain(0048),11
0057,Champawat(0057),Champawat(0057),82
0060,Poornagiri*(0060),Poornagiri*(0060),82
0027,Dehradun 0027),Dehradun 0027),77
0059,Lohaghat*(0059),Lohaghat*(0059),22
0053,Almora,Almora,6
0061,Kosya Kutauli(0061),Kosya Kutauli(0061),38
0026,Vikas Nagar(0026),Vikas Nagar(0026),77
0009,Pokhari ,Pokhari ,14
0011,Tharali  ,Tharali  ,15
0048,Bhikiasain(0048),Bhikiasain(0048),7
0050,Sult*,Sult*,8
0052,Dwarahat*,Dwarahat*,9
0007,Joshimath ,Joshimath ,15
0010,Karnaprayag,Karnaprayag,16
0009,Pokhari ,Pokhari ,17
0011,Tharali  ,Tharali  ,18
0011,Tharali  ,Tharali  ,20
0011,Tharali  ,Tharali  ,21
0058,Pati*(0058),Pati*(0058),23
0077,Hardwar(0077),Hardwar(0077),106
0059,Lohaghat*,Lohaghat*,24
0077,Hardwar,Hardwar,25
0076,Roorkee(0076),Roorkee(0076),26
0076,Roorkee,Roorkee,27
0076,Roorkee,Roorkee,28
0076,Roorkee,Roorkee,29
0077,Hardwar,Hardwar,30
0078,Laksar,Laksar,31
0078,Laksar,Laksar,32
0063,Nainital,Nainital,33
0065,Haldwani,Haldwani,34
0066,Ramnagar*,Ramnagar*,35
0064,Dhari,Dhari,36
0063,Nainital,Nainital,37
0062,Betalghat*,Betalghat*,38
0066,Ramnagar*,Ramnagar*,39
0065,Haldwani,Haldwani,40
0064,Dhari,Dhari,41
0064,Dhari,Dhari,42
0064,Dhari,Dhari,43
0067,Kaladhungi*,Kaladhungi*,44
0067,Kaladhungi*,Kaladhungi*,43
0066,Ramnagar*,Ramnagar*,44
0065,Haldwani,Haldwani,45
0043,Pithoragarh,Pithoragarh,46
0043,Pithoragarh,Pithoragarh,47
0040,Didihat,Didihat,48
0041,Berinag*,Berinag*,49
0040,Didihat,Didihat,50
0039,Dharchula,Dharchula,51
0038,Munsiari,Munsiari,52
0042,Gangolihat,Gangolihat,53
0020,Tehri   (0020),Tehri   (0020),54
0022,Narendra Nagar(0022),Narendra Nagar(0022),55
0017,Devprayag,Devprayag,56
0051,Ranikhet(0051),Ranikhet(0051),115
0021,Dhanaulti*,Dhanaulti*,58
0020,Tehri   ,Tehri   ,59
0018,Pratapnagar,Pratapnagar,60
0019,Jakhani dhar*,Jakhani dhar*,61
0017,Devprayag,Devprayag,62
0022,Narendra Nagar,Narendra Nagar,63
0017,Devprayag,Devprayag,64
0027,Dehradun ,Dehradun ,75
0028,Rishikesh,Rishikesh,76
0071,Bajpur*(0071),Bajpur*(0071),70
0026,Vikas Nagar,Vikas Nagar,78
0025,Kalsi*0025),Kalsi*0025),79
0023,Chakrata ,Chakrata ,80
0015,Jakholi*,Jakholi*,99
0008,Chamoli,Chamoli,81
0016,Ghansali,Ghansali,61
0030,Pauri,Pauri,83
0030,Pauri,Pauri,84
0030,Pauri,Pauri,85
0030,Pauri,Pauri,86
0030,Pauri,Pauri,87
0035,Chaubatta khal*,Chaubatta khal*,88
0033,Lansdowne,Lansdowne,89
0034,Satpuli*,Satpuli*,90
0034,Satpuli*,Satpuli*,91
0036,Kotdwara,Kotdwara,90
0031,Thailisain,Thailisain,93
0034,Satpuli*,Satpuli*,86
0033,Lansdowne,Lansdowne,95
0037,Yamkeshwar*,Yamkeshwar*,96
0032,Dhoomakot,Dhoomakot,97
0056,Bhanoli*(0056),Bhanoli*(0056),5
0054,Someshwar*,Someshwar*,1
0031,Thailisain(0031),Thailisain(0031),113
0006,Bhatwari,Bhatwari,101
0005,Chinyali saur*,Chinyali saur*,101
0077,Hardwar(0077),Hardwar(0077),111
0052,Dwarahat*,Dwarahat*,9
0077,Hardwar(0077),Hardwar(0077),112
0050,Sult*,Sult*,8
0054,Someshwar*,Someshwar*,3
0034,Satpuli*(0034),Satpuli*(0034),89
0018,Pratapnagar(0018),Pratapnagar(0018),61
0021,Dhanaulti*0021),Dhanaulti*0021),59
0016,Ghansali(0016),Ghansali(0016),59
0029,Srinagar(0029),Srinagar(0029),87
0023,Chakrata (0023),Chakrata (0023),79
0028,Rishikesh0028),Rishikesh0028),75
0070,Jaspur*(0070),Jaspur*(0070),71
0066,Ramnagar*(0066),Ramnagar*(0066),43
0068,Lalkuan*(0068),Lalkuan*(0068),40
0063,Nainital(0063),Nainital(0063),42
0076,Roorkee(0076),Roorkee(0076),106
0063,Nainital,Nainital,43
0020,Tehri   (0020),Tehri   (0020),107
0061,Kosya Kutauli,Kosya Kutauli,37
0072,Kichha(0072),Kichha(0072),108
0072,Kichha(0072),Kichha(0072),109
0036,Kotdwara,Kotdwara,89
0029,Srinagar,Srinagar,84
0031,Thailisain,Thailisain,97
0031,Thailisain,Thailisain,85
0036,Kotdwara,Kotdwara,91
0035,Chaubatta khal*,Chaubatta khal*,91
0031,Thailisain,Thailisain,95
0035,Chaubatta khal*,Chaubatta khal*,90
0033,Lansdowne,Lansdowne,90
0036,Kotdwara,Kotdwara,97
0055,Jainti*,Jainti*,5
0069,Kashipur(0069),Kashipur(0069),66
0053,Almora,Almora,5
0053,Almora,Almora,4
0055,Jainti*,Jainti*,4
0075,Khatima0075),Khatima0075),67
0051,Ranikhet(0051),Ranikhet(0051),2
0016,Ghansali(0016),Ghansali(0016),57
0017,Devprayag(0017),Devprayag(0017),118
0048,Bhikiasain(0048),Bhikiasain(0048),117
0053,Almora,Almora,1
0054,Someshwar*,Someshwar*,3
0049,Chaukhutiya*,Chaukhutiya*,10
0008,Chamoli,Chamoli,14
0072,Kichha,Kichha,65
0074,Sitarganj,Sitarganj,68
0073,Gadarpur*,Gadarpur*,69
0006,Bhatwari,Bhatwari,72
0047,Garud*,Garud*,73
0004,Dunda,Dunda,102
0001,Puraula,Puraula,104
0049,Chaukhutiya*,Chaukhutiya*,10
0047,Garud*,Garud*,73
0044,Kapkot,Kapkot,13
0008,Chamoli,Chamoli,81
0011,Tharali  ,Tharali  ,21
0012,Gairsain(0012),Gairsain(0012),19
0007,Joshimath ,Joshimath ,15
0010,Karnaprayag,Karnaprayag,16
0011,Tharali  ,Tharali  ,20
0009,Pokhari ,Pokhari ,17
0011,Tharali  ,Tharali  ,18
0059,Lohaghat*,Lohaghat*,24
0035,Chaubatta khal*(0035),Chaubatta khal*(0035),94
0077,Hardwar,Hardwar,25
0024,Tyuni*(0024),Tyuni*(0024),80
0076,Roorkee,Roorkee,27
0076,Roorkee,Roorkee,28
0077,Hardwar,Hardwar,30
0078,Laksar,Laksar,31
0078,Laksar,Laksar,32
0047,Garud*0047),Garud*0047),110
0066,Ramnagar*,Ramnagar*,38
0044,Kapkot,Kapkot,13
0014,Rudraprayag0014),Rudraprayag0014),98
0066,Ramnagar*,Ramnagar*,39
0062,Betalghat*,Betalghat*,38
0063,Nainital,Nainital,37
0064,Dhari,Dhari,36
0065,Haldwani,Haldwani,34
0067,Kaladhungi*,Kaladhungi*,43
0065,Haldwani,Haldwani,40
0063,Nainital,Nainital,33
0064,Dhari,Dhari,41
0064,Dhari,Dhari,42
0064,Dhari,Dhari,35
0041,Berinag*,Berinag*,49
0043,Pithoragarh,Pithoragarh,46
0039,Dharchula,Dharchula,51
0040,Didihat,Didihat,50
0042,Gangolihat,Gangolihat,53
0040,Didihat,Didihat,48
0043,Pithoragarh,Pithoragarh,47
0038,Munsiari,Munsiari,52
0017,Devprayag,Devprayag,56
0022,Narendra Nagar,Narendra Nagar,63
0017,Devprayag,Devprayag,64
0019,Jakhani dhar*,Jakhani dhar*,61
0021,Dhanaulti*,Dhanaulti*,58
0017,Devprayag,Devprayag,62
0018,Pratapnagar,Pratapnagar,60
0020,Tehri   ,Tehri   ,59
0073,Gadarpur*,Gadarpur*,69
0072,Kichha,Kichha,65
0074,Sitarganj,Sitarganj,68
0006,Bhatwari,Bhatwari,72
0005,Chinyali saur*,Chinyali saur*,101
0004,Dunda,Dunda,102
0028,Rishikesh,Rishikesh,76
0027,Dehradun ,Dehradun ,75
0030,Pauri,Pauri,83
0031,Thailisain,Thailisain,93
0037,Yamkeshwar*,Yamkeshwar*,96
0027,Dehradun 0027),Dehradun 0027),76
0067,Kaladhungi*0067),Kaladhungi*0067),39
0061,Kosya Kutauli,Kosya Kutauli,42
0053,Almora0053),Almora0053),114
0002,Mori(0002),Mori(0002),103
0003,Rajgarhi(0003),Rajgarhi(0003),105
0034,Satpuli*,Satpuli*,88
0032,Dhoomakot,Dhoomakot,94
0031,Thailisain,Thailisain,94
0036,Kotdwara,Kotdwara,92
0013,Ukhimath,Ukhimath,98
0014,Rudraprayag,Rudraprayag,99
0013,Ukhimath,Ukhimath,100
0046,Bageswar0046),Bageswar0046),12
0045,Kanda*,Kanda*,12
0024,Tyuni*(0024),Tyuni*(0024),116
0008,Chamoli,Chamoli,74
0074,Sitarganj(0074),Sitarganj(0074),120
