SID,VCode
2,688
2,689
2,690
2,692
2,693
2,694
2,695
2,696
2,697
2,698
2,699
2,16832
3,606
3,607
3,16832
3,16833
4,610
4,611
4,612
4,613
5,660
5,661
5,663
5,672
5,673
6,628
6,629
6,645
6,649
6,650
6,651
7,614
7,615
7,616
7,617
7,647
7,648
8,667
8,668
8,669
8,670
8,10000660
9,636
9,637
9,639
9,640
9,10000658
9,10000659
10,632
10,641
10,642
10,643
10,644
11,618
11,619
11,620
11,622
11,623
11,627
11,646
12,675
12,676
12,677
12,678
12,679
12,680
12,681
12,16834
12,16835
12,16836
12,16837
13,662
13,664
13,665
13,666
14,621
14,624
14,625
14,626
14,630
14,633
15,652
15,653
15,659
16,612
16,683
16,685
16,686
16,687
17,1948
17,1952
17,1954
17,1957
18,1990
18,1992
18,1994
18,1995
18,1997
18,1998
18,1999
18,2000
19,2031
19,2032
19,2034
19,2043
19,2044
20,2054
20,2073
21,2077
21,2084
21,2088
21,2090
21,10001976
22,2062
22,2070
23,2007
23,2008
23,2009
24,2065
24,2069
25,547
25,548
25,549
25,553
25,555
25,557
25,558
25,571
25,577
25,579
25,580
25,581
25,10000684
26,512
26,513
26,515
26,516
26,523
26,526
26,531
26,532
26,533
27,510
27,582
27,583
27,587
27,588
27,594
27,16827
27,10000685
27,10000686
28,534
28,535
28,536
28,537
28,538
28,541
28,542
28,10000688
29,509
29,511
29,517
29,518
29,519
29,520
29,521
29,522
29,524
29,525
29,591
29,10000683
30,565
30,567
30,569
30,570
30,573
30,575
31,584
31,586
31,595
31,10000680
31,10000681
31,10000682
32,560
32,561
32,562
32,563
32,10000689
32,10000691
33,596
33,597
33,598
33,599
34,527
34,529
34,530
34,10000687
35,501
35,502
35,506
35,507
35,16828
36,543
36,544
36,545
36,546
36,550
37,499
37,500
37,504
37,570
37,16829
37,10003573
38,417
38,418
38,419
38,428
38,429
38,430
38,431
38,432
38,433
38,434
38,435
38,436
38,437
38,10003598
39,475
39,476
39,477
39,484
39,485
39,486
39,487
39,10003729
40,440
40,446
40,447
40,448
40,449
40,450
40,10000661
41,455
41,459
41,462
41,463
41,464
41,465
41,495
42,454
42,489
42,490
42,492
42,493
42,494
42,496
42,497
42,10000664
42,10000665
43,461
43,466
43,467
43,468
43,469
43,470
43,471
43,472
43,473
43,474
44,375
44,377
44,380
44,381
44,382
44,384
44,385
44,386
44,388
44,389
44,442
44,10000668
44,10003957
44,10003958
45,478
45,479
45,480
45,481
45,482
45,483
46,392
46,393
46,394
46,395
46,400
46,10000679
47,420
47,421
47,422
47,423
47,424
47,425
47,426
47,427
47,10000663
48,390
48,391
48,402
48,403
48,404
48,406
48,10000667
48,10003755
49,398
49,452
49,453
49,457
49,458
49,460
49,10000677
50,378
50,379
50,396
50,397
50,399
50,451
51,398
51,407
51,408
51,409
51,411
51,412
51,414
51,415
51,416
51,10000666
51,10000690
51,10003236
52,383
52,438
52,439
52,441
52,443
52,10000674
53,70
53,71
53,80
53,81
54,9
54,53
54,54
54,55
54,57
54,60
54,61
54,62
54,64
55,1
55,15
55,18
56,85
56,86
56,87
56,88
56,89
56,90
57,35
57,37
57,38
57,41
57,42
57,43
57,46
58,48
58,49
58,50
58,51
59,73
59,74
59,76
59,77
59,78
59,79
59,93
59,94
59,95
59,96
59,97
59,98
59,99
60,23
60,52
60,65
60,69
61,66
62,19
62,20
62,21
63,3
63,4
63,6
63,7
64,24
64,25
64,26
64,27
64,29
64,31
64,32
64,71
65,2
65,10
65,11
65,12
65,13
65,14
73,247
73,248
73,254
73,255
73,258
73,259
73,260
74,206
74,214
74,215
74,217
74,225
74,232
74,246
74,270
74,271
74,272
74,273
74,274
74,275
74,276
74,279
74,280
74,10000743
74,10003247
74,10003248
74,10003249
74,10003250
74,10003251
74,10003252
75,185
75,186
75,189
75,190
75,191
75,193
75,195
75,197
75,198
75,199
75,200
75,201
75,202
75,203
75,204
75,205
75,206
75,207
75,209
75,210
75,211
75,212
75,213
75,214
75,215
75,216
75,222
75,326
75,10000744
75,10000745
75,10000746
88,241
88,10000738
89,2978
89,2984
89,3145
89,3148
89,3150
89,10004211
89,10004212
90,251
90,252
91,309
91,310
91,314
91,315
91,316
91,320
91,322
91,324
91,10000750
91,10000751
91,10000752
91,10000753
91,10000754
92,3026
92,3029
