SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
2,Mustiksour,Mustiksour,43,0006,1,1,,0,0
3,Harshil,Harshil,43,0006,1,2,,0,0
4,Jhala,Jhala,43,0006,1,3,,0,0
5,Uttron,Uttron,43,0006,1,4,,0,0
6,Silla,Silla,43,0006,1,5,,0,0
7,Gangnani (Sunagar),Gangnani (Sunagar),43,0006,1,6,,0,0
8,Sald,Sald,43,0006,1,7,,0,0
9,Maneri,Maneri,43,0006,1,8,,0,0
10,Soura,Soura,43,0006,1,9,,0,0
11,Bhatwari - MCH,Bhatwari - MCH,43,0006,1,10,,0,0
12,Bonga,Bonga,43,0006,1,11,,0,0
13,Naitala,Naitala,43,0006,1,12,,0,0
14,Gorsali,Gorsali,43,0006,1,13,,0,0
15,Sangam Chati,Sangam Chati,43,0006,1,14,,0,0
16,Tiloth,Tiloth,43,0006,1,15,,0,0
17,Rampur,Rampur,56,0013,3,1,,0,0
18,Guptakashi,Guptakashi,56,0013,3,2,,0,0
19,Daira,Daira,56,0013,3,3,,0,0
20,Makkumath,Makkumath,56,0013,3,4,,0,0
21,Lamgaundy,Lamgaundy,56,0013,3,5,,0,0
22,Paldwari,Paldwari,56,0013,3,6,,0,0
23,Ransi,Ransi,56,0013,3,7,,0,0
24,Parkandi,Parkandi,56,0013,3,8,,0,0
25,Chinyalisour-MCH,Chinyalisour-MCH,44,0005,1,1,,0,0
26,Banchora,Banchora,44,0005,1,2,,0,0
27,Dichali,Dichali,44,0005,1,3,,0,0
28,ShriKot,ShriKot,44,0005,1,4,,0,0
29,Jibya Daski,Jibya Daski,44,0005,1,5,,0,0
30,Rauntal,Rauntal,44,0005,1,6,,0,0
31,Khalsi,Khalsi,44,0005,1,7,,0,0
32,Jaspur Gamri,Jaspur Gamri,44,0005,1,8,,0,0
33,Jogath,Jogath,44,0005,1,9,,0,0
34,Gadoli,Gadoli,44,0005,1,10,,0,0
35,Chhaijula,Chhaijula,44,0005,1,11,,0,0
36,Matholi,Matholi,44,0005,1,12,,0,0
37,Bangoan,Bangoan,44,0005,1,13,,0,0
38,Thati (Peepli),Thati (Peepli),45,0004,1,1,,0,0
39,Dhontri,Dhontri,45,0004,1,2,,0,0
40,Sylna,Sylna,45,0004,1,3,,0,0
41,Junga,Junga,45,0004,1,4,,0,0
42,Gorsada,Gorsada,45,0004,1,5,,0,0
43,Malna,Malna,45,0004,1,6,,0,0
44,Jaspur,Jaspur,45,0004,1,7,,0,0
45,Kamad,Kamad,45,0004,1,8,,0,0
46,Kanwa,Kanwa,45,0004,1,9,,0,0
47,Fold,Fold,45,0004,1,10,,0,0
48,Dunda-MCH,Dunda-MHC,45,0004,1,11,,0,0
49,Gainwla,Gainwla,45,0004,1,12,,0,0
50,Ranukigad,Ranukigad,45,0004,1,13,,0,0
51,Jadi Dhumka,Jadi Dhumka,45,0004,1,14,,0,0
52,Gaunag,Gaunag,45,0004,1,15,,0,0
53,Mori-MCH,Mori-MCH,49,0002,1,1,,0,0
54,Jakhol,Jakhol,49,0002,1,2,,0,0
55,Arakot,Arakot,49,0002,1,3,,0,0
56,Gadugad,Gadugad,49,0002,1,4,,0,0
57,Dhoni,Dhoni,49,0002,1,5,,0,0
58,Sour Shankri,Sour Shankri,49,0002,1,6,,0,0
59,Naitwar,Naitwar,49,0002,1,7,,0,0
60,Gangaad,Gangaad,49,0002,1,8,,0,0
61,Taluka,Taluka,49,0002,1,9,,0,0
62,Bhutanu,Bhutanu,49,0002,1,10,,0,0
63,Chinwa,Chinwa,49,0002,1,11,,0,0
64,Thadiyar,Thadiyar,49,0002,1,12,,0,0
65,Gokul,Gokul,49,0002,1,13,,0,0
73,Rana,Rana,54,0003,1,1,,0,0
74,Barkot,Barkot,54,0003,1,2,,0,0
75,Gadoli,Gadoli,54,0003,1,3,,0,0
76,Kuthnor,Kuthnor,54,0003,1,4,,0,0
77,Kaffnoul,Kaffnoul,54,0003,1,5,,0,0
78,Bagwan SC,Bagwan SC,84,0017,4,1,,0,0
79,Bhankoli,Bhankoli,54,0003,1,6,,0,0
80,Oadgoan,Oadgoan,54,0003,1,7,,0,0
81,Lakshmoli SC,Lakshmoli SC,84,0017,4,2,,0,0
82,Damta,Damta,54,0003,1,8,,0,0
83,Kandari,Kandari,54,0003,1,9,,0,0
84,Devprayag SC,Devprayag SC,84,0017,4,3,,0,0
85,Sarnoul,Sarnoul,54,0003,1,10,,0,0
86,Dewal,Dewal,54,0003,1,11,,0,0
87,Malda SC,Malda SC,84,0017,4,4,,0,0
88,Goal,Goal,54,0003,1,12,,0,0
89,Jamnikhal SC,Jamnikhal SC,84,0017,4,5,,0,0
90,Kharsali,Kharsali,54,0003,1,13,,0,0
91,Dhari Kalogi,Dhari Kalogi,54,0003,1,14,,0,0
92,Mahad SC,Mahad SC,84,0017,4,6,,0,0
93,Kharadi,Kharadi,54,0003,1,15,,0,0
94,Banas,Banas,54,0003,1,16,,0,0
95,Bharpur SC,Bharpur SC,84,0017,4,7,,0,0
96,Gangtadi,Gangtadi,54,0003,1,17,,0,0
97,Bachelikhal SC,Bachelikhal SC,84,0017,4,8,,0,0
98,Ponti,Ponti,54,0003,1,18,,0,0
99,Ransolodhar SC,Ransolodhar SC,84,0017,4,9,,0,0
100,Naugoan-MCH,Naugoan-MCH,54,0003,1,19,,0,0
101,Paurikhal SC,Paurikhal SC,84,0017,4,10,,0,0
102,Tyuna SC,Tyuna SC,84,0017,4,11,,0,0
103,Hinsriyakhal SC,Hinsriyakhal SC,84,0017,4,12,,0,0
104,Baunth SC,Baunth SC,84,0017,4,13,,0,0
105,Devka SC,Devka SC,84,0017,4,14,,0,0
106,Laludikhal SC,Laludikhal SC,84,0017,4,15,,0,0
107,Gaumukh SC,Gaumukh SC,84,0017,4,16,,0,0
108,Palethi SC,Palethi SC,84,0017,4,17,,0,0
