TCode,ID,Name_G,Name_E,DCode,MDDS_Code,IsVerified
0001,8,Behat,Behat,1,701,True
0002,9,Saharanpur,Saharanpur,1,702,True
0003,10,Nakur,Nakur,1,703,True
0004,11,Deoband,Deoband,1,704,True
0005,12,Rampur Maniharan **,Rampur Maniharan **,1,705,True
0006,13,Kairana,Kairana,74,706,True
0007,14,Shamli,Shamli,74,707,True
0008,167,Muzaffarnagar,Muzaffarnagar,2,708,True
0009,168,Budhana,Budhana,2,709,True
0010,169,Khatauli **,Khatauli **,2,710,True
0011,170,Jansath,Jansath,2,711,True
0012,171,Najibabad,Najibabad,3,712,True
0013,172,Bijnor,Bijnor,3,713,True
0014,7,Nagina,Nagina,3,714,True
0015,6,Dhampur,Dhampur,3,715,True
0016,5,Chandpur,Chandpur,3,716,True
0017,4,Thakurdwara,Thakurdwara,4,717,True
0018,166,Kanth **,Kanth **,4,718,True
0019,165,Moradabad,Moradabad,4,719,True
0020,164,Bilari,Bilari,4,720,True
0021,163,Sambhal,Sambhal,75,721,True
0022,162,Chandausi,Chandausi,75,722,True
0023,161,Suar,Suar,5,723,True
0024,160,Tanda **,Tanda **,5,724,True
0025,159,Bilaspur,Bilaspur,5,725,True
0026,158,Rampur,Rampur,5,726,True
0027,157,Shahabad ,Shahabad ,5,727,True
0028,156,Milak ,Milak ,5,728,True
0029,155,Dhanaura,Dhanaura,6,729,True
0030,3,Amroha,Amroha,6,730,True
0031,231,Hasanpur,Hasanpur,6,731,True
0032,232,Sardhana,Sardhana,7,732,True
0033,233,Mawana,Mawana,7,733,True
0034,234,Meerut,Meerut,7,734,True
0035,235,Baraut,Baraut,8,735,True
0036,43,Baghpat,Baghpat,8,736,True
0037,44,Khekada,Khekada,8,737,True
0038,45,Modinagar,Modinagar,9,738,True
0039,46,Ghaziabad,Ghaziabad,9,739,True
0040,47,Hapur,Hapur,76,740,True
0041,48,Garhmukteshwar,Garhmukteshwar,9,,False
0042,49,Dadri,Dadri,10,742,True
0043,50,Gautam Buddha Nagar,Gautam Buddha Nagar,10,743,True
0044,51,Jewar,Jewar,10,744,True
0045,52,Sikandrabad,Sikandrabad,11,745,True
0046,53,Bulandshahr,Bulandshahr,11,746,True
0047,54,Siana,Siana,11,747,True
0048,55,Anupshahr,Anupshahr,11,748,True
0049,56,Debai,Debai,11,749,True
0050,57,Shikarpur,Shikarpur,11,750,True
0051,205,Khurja ,Khurja ,11,751,True
0052,206,Khair,Khair,12,752,True
