TCode,Name_E,Name_G,BID
0118,Bighapur(0118),Bighapur(0118),916
0118,Bighapur(0118),Bighapur(0118),917
0095,Shahjahanpur(0095),Shahjahanpur(0095),916
0095,Shahjahanpur(0095),Shahjahanpur(0095),917
0095,Shahjahanpur(0095),Shahjahanpur(0095),918
0136,Jaswantnagar(0136),Jaswantnagar(0136),350
0223,Bhinga(0223),Bhinga(0223),558
0223,Bhinga(0223),Bhinga(0223),559
0022,Chandausi(0022),Chandausi(0022),46
0036,Baghpat(0036),Baghpat(0036),78
0018,Kanth **(0018),Kanth **(0018),39
0019,Moradabad(0019),Moradabad(0019),41
0019,Moradabad(0019),Moradabad(0019),42
0021,Sambhal(0021),Sambhal(0021),47
0020,Bilari(0020),Bilari(0020),44
0019,Moradabad(0019),Moradabad(0019),43
0186,Manjhanpur (0186),Manjhanpur (0186),465
0100,Mohammdi(0100),Mohammdi(0100),245
0172,Baberu(0172),Baberu(0172),422
0102,Dhaurahara(0102),Dhaurahara(0102),251
0166,Sarila **(0166),Sarila **(0166),410
0165,Rath(0165),Rath(0165),412
0072,Firozabad(0072),Firozabad(0072),152
0072,Firozabad(0072),Firozabad(0072),153
0074,Shikohabad (0074),Shikohabad (0074),157
0008,Muzaffarnagar(0008),Muzaffarnagar(0008),20
0008,Muzaffarnagar(0008),Muzaffarnagar(0008),935
0010,Khatauli **(0010),Khatauli **(0010),936
0007,Shamli(0007),Shamli(0007),937
0031,Hasanpur(0031),Hasanpur(0031),938
0009,Budhana(0009),Budhana(0009),941
0259,Deoria(0259),Deoria(0259),673
0303,Chunar(0303),Chunar(0303),830
0300,Mirzapur(0300),Mirzapur(0300),792
0300,Mirzapur(0300),Mirzapur(0300),793
0302,Marihan(0302),Marihan(0302),797
0203,Milkipur(0203),Milkipur(0203),506
0131,Amritpur,Amritpur,339
0132,Farrukhabad ,Farrukhabad ,340
0132,Farrukhabad ,Farrukhabad ,341
0132,Farrukhabad ,Farrukhabad ,342
0310,Kasganj,Kasganj,336
0310,Kasganj,Kasganj,337
0310,Kasganj,Kasganj,338
0116,Unnao(0116),Unnao(0116),301
0116,Unnao(0116),Unnao(0116),299
0114,Safipur(0114),Safipur(0114),293
0117,Purwa (0117),Purwa (0117),304
0278,Ballia(0278),Ballia(0278),721
0149,Kanpur (0149),Kanpur (0149),942
00,---Select---,---Select---,944
0254,Gola (0254),Gola (0254),945
0252,Bansgaon(0252),Bansgaon(0252),648
0238,Harraiya(0238),Harraiya(0238),904
0238,Harraiya(0238),Harraiya(0238),606
0240,Rudhauli **(0240),Rudhauli **(0240),611
0159,Mauranipur(0159),Mauranipur(0159),399
0148,Bilhaur (0148),Bilhaur (0148),376
0182,Pratapgarh(0182),Pratapgarh(0182),453
0180,Lalganj (0180),Lalganj (0180),447
0183,Patti(0183),Patti(0183),457
0013,Bijnor(0013),Bijnor(0013),28
0015,Dhampur(0015),Dhampur(0015),31
0178,Fatehpur(0178),Fatehpur(0178),949
0314,Gauriganj(NEW)(0314),Gauriganj(NEW)(0314),953
0315,Tiloee(NEW)(0315),Tiloee(NEW)(0315),955
0316,Salon(NEW)(0316),Salon(NEW)(0316),956
0316,Salon(NEW)(0316),Salon(NEW)(0316),957
0316,Salon(NEW)(0316),Salon(NEW)(0316),958
0214,Amethi (0214),Amethi (0214),959
0214,Amethi (0214),Amethi (0214),960
0095,Shahjahanpur(0095),Shahjahanpur(0095),919
0149,Kanpur (0149),Kanpur (0149),943
0178,Fatehpur(0178),Fatehpur(0178),946
0183,Patti(0183),Patti(0183),456
0180,Lalganj (0180),Lalganj (0180),449
0183,Patti(0183),Patti(0183),458
0315,Tiloee(NEW)(0315),Tiloee(NEW)(0315),954
0001,Sadholi Kadeem,Sadholi Kadeem,1
0001,Muzzafrabad,Muzzafrabad,2
0002,Puwarka,Puwarka,3
0002,Balliyakhare,Balliyakhare,4
0003,Sarsawa,Sarsawa,5
0003,Nukkur,Nukkur,6
0003,Gangoha,Gangoha,7
0004,Rampur Maniharan,Rampur Maniharan,8
0004,Nangal,Nangal,9
0004,Naunata,Naunata,10
0004,Daoband,Daoband,11
0006,Unn,Unn,12
0006,Kairona,Kairona,13
0007,Thanabhawan,Thanabhawan,14
0007,Shamli,Shamli,15
0007,Shamli,Kandhla,16
0011,Casthawal,Casthawal,17
0008,Purkaji,Purkaji,18
0008,Sadar,Sadar,19
0277,Rasra(0277),Rasra(0277),719
0011,Budana,Budana,21
0009,Budhana,Shahpur,22
0011,Morna,Morna,23
0011,Jansath,Jansath,24
0011,Khathauli,Khathauli,25
0267,Najibabad,Najibabad,26
0267,Kiratpur,Kiratpur,27
0016,Haldaur,Haldaur,29
0014,Kotwali,Kotwali,30
0015,Nehtaur,Nehtaur,32
0015,Dhampur,Dhampur,33
0015,Seohara,Seohara,34
0016,Jalilpur,Jalilpur,35
0016,Noorpur,Noorpur,36
0017,Thakurdwara,Thakurdwara,37
0017,Dilhari,Dilhari,38
0268,Phulpur (0268),Phulpur (0268),947
0030,Amroha,Amroha,40
0020,Bilhari,Bilhari,45
0021,Panwasa,Panwasa,48
0021,Sambhal,Sambhal,49
0022,Bahjoi,Bahjoi,50
0023,Suwar,Suwar,51
0025,Bilaspur,Bilaspur,52
0026,Saidnagar,Saidnagar,53
0026,Chamraua,Chamraua,54
0027,Shahabad,Shahabad,55
0028,Milak,Milak,56
0029,Dhanaur,Dhanaur,57
0030,Joya,Joya,58
0029,Gajraula,Gajraula,59
0031,Hasanpur,Hasanpur,60
0031,Gegesuwari,Gegesuwari,61
0032,Sarurpur,Sarurpur,62
0032,Sardhna,Sardhna,63
0033,Mewana,Mewana,65
0033,Hastinapur,Hastinapur,66
0033,Parikshitgarh,Parikshitgarh,67
0033,Machhra,Machhra,68
0034,Rohta,Rohta,69
0034,Rajpura,Rajpura,72
0034,Kharkhauda,Kharkhauda,73
0035,Chaprauli,Chaprauli,74
0035,Badauth,Badauth,75
0035,Binauli,Binauli,76
0036,Baghpat,Baghpat,77
0037,Khekra,Khekra,79
0038,Muradnagar,Muradnagar,80
0039,Rajapur,Rajapur,81
0038,Bhojpur,Bhojpur,82
0039,Loni,Loni,83
