PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
1,Sadholi Kadeem PHC,Sadholi Kadeem PHC,,1,0001,1,501,,1,0,False
2,PHC Kamboh Majra,PHC Kamboh Majra,,1,0001,1,502,,1,0,False
3,PHC Mirzapur,PHC Mirzapur,,1,0001,1,503,,1,0,False
4,PHC Nogawa,PHC Nogawa,,1,0001,1,504,,1,0,False
5,Muzaffarabad,Muzaffarabad,,1,0001,2,505,,1,0,False
6,Kaluwala Pahadipur(Jahanpur),Kaluwala Pahadipur(Jahanpur),,1,0001,2,506,,1,0,False
7,Babail Buzurg,Babail Buzurg,,1,0001,2,507,,1,0,False
8,Shakumbhari Devi,Shakumbhari Devi,,1,0001,2,508,,1,0,False
9,Fatehpur,Fatehpur,,1,0001,2,509,,1,0,False
10,Biharigarh,Biharigarh,,1,0001,2,510,,1,0,False
11,Puwarka,Puwarka,,1,0002,3,501,,1,0,False
12,Devla,Devla,,1,0002,3,502,,1,0,False
13,Harora CHC,Harora CHC,,1,0002,3,503,,2,0,False
14,Kalashpur,Kalashpur,,1,0002,3,504,,1,0,False
15,PHC Sunehti Khadkheri,PHC Sunehti Khadkheri,,1,0002,4,505,0,2,0,False
16,PHC Khajuri,PHC Khajuri,,1,0002,4,506,,1,0,False
17,PHC Kota,PHC Kota,,1,0002,4,507,,1,0,False
18,PHC Nanhera Gujjar,PHC Nanhera Gujjar,,1,0002,4,508,,1,0,False
19,PHC Sabdalpur,PHC Sabdalpur,,1,0002,4,509,,1,0,False
20,Sarsawa,Sarsawa,,1,0003,5,501,,1,0,False
21,Qutubpur,Qutubpur,,1,0003,5,502,,1,0,False
22,Pilakhni,Pilakhni,,1,0003,5,503,,1,0,False
23,CHC Chilkana,CHC Chilkana,,1,0003,5,504,,2,0,False
24,Panchkua,Panchkua,,1,0003,5,505,,1,0,False
25,CHC Nakur,CHC Nakur,,1,0003,6,506,,2,0,False
26,Fandpuri,Fandpuri,,1,0003,6,507,,1,0,False
27,Tabar,Tabar,,1,0003,6,508,,1,0,False
28,Ambehta,Ambehta,,1,0003,6,509,,1,0,False
29,Islam Nagar,Islam Nagar,,1,0003,6,510,,1,0,False
30,CHC Gangoh,CHC Gangoh,,1,0003,7,511,,2,0,False
31,PHC Salarpura,PHC Salarpura,,1,0003,7,512,,1,0,False
32,PHC Sikanderpur,PHC Sikanderpur,,1,0003,7,513,,1,0,False
33,PHC Doodhala,PHC Doodhala,,1,0003,7,514,,1,0,False
34,PHC Titero,PHC Titero,,1,0003,7,515,,1,0,False
35,Rampur Maniharan,Rampur Maniharan,,1,0004,8,501,,1,0,False
36,PHC  Bhakla,PHC  Bhakla,,1,0004,8,502,,1,0,False
37,PHC  Pahasu,PHC  Pahasu,,1,0004,8,503,,1,0,False
