SID,VCode
1,1254
2,1248
3,1251
4,1502
5,1494
6,1042
7,1353
8,1246
9,1234
10,72
11,1207
12,1203
13,1068
14,1196
15,1275
16,1232
17,1279
18,1271
19,1304
20,1283
21,483
22,1305
23,1311
24,1314
25,1289
26,1299
27,1296
28,1144
29,1307
30,734
31,1322
32,903
33,1312
34,368
35,1377
36,1532
37,1359
38,1354
39,1332
40,1341
41,1350
42,1344
43,1349
44,1335
45,1385
46,1361
47,1396
48,1390
49,1382
50,1391
51,1394
52,1428
53,1428
54,1428
55,1448
56,1446
57,1453
58,1564
59,360
60,1480
61,1430
62,1423
63,1421
64,1411
65,601
66,1049
67,1569
68,1441
69,616
70,1460
71,1583
72,1456
73,1462
74,1463
75,489
76,1474
77,827
78,1517
79,19
80,1601
81,1601
82,1604
83,1595
84,1592
85,1585
86,635
87,1489
88,1494
89,1498
90,1492
91,1564
92,1569
93,1556
94,1429
95,1550
96,1535
97,1289
98,1538
99,1327
100,1573
101,1580
102,1521
103,1510
104,1514
105,1527
106,1530
107,1362
108,2328
111,488
111,1992
113,1616
114,1638
115,1610
116,1655
118,1898
119,2037
120,1690
121,1651
122,1694
123,1674
124,1653
125,1646
126,2119
127,1608
128,2295
129,1613
130,1615
131,1619
132,1636
133,1633
134,1624
135,1637
136,1887
137,1887
138,1884
139,1897
140,1889
141,1736
142,1740
143,1721
144,2086
145,1730
146,1903
147,1902
148,1901
149,1900
150,1718
151,1947
152,1728
153,1758
154,1764
155,1761
156,1934
157,2626
158,1750
159,1750
160,1771
161,1749
162,2550
163,1792
164,1973
165,1790
166,1808
169,1782
170,1857
171,1769
172,2506
173,1796
174,2161
175,1720
176,1822
177,1825
180,1836
181,1828
184,1821
185,1837
188,1818
189,1813
190,1716
191,2017
192,1866
193,1865
194,1867
195,1855
196,1839
197,1870
198,1870
199,1876
200,1916
201,1888
202,2566
203,1675
204,1921
205,2338
206,2514
207,1922
208,1925
209,1929
210,2207
211,2206
212,2208
213,2195
214,1936
215,1930
216,1644
217,1776
218,1931
219,1933
220,1932
221,1775
222,1778
223,1791
223,2384
224,2288
225,1721
226,1910
227,2106
228,1909
229,1971
230,1912
231,1915
232,2350
233,2191
234,1923
234,1927
235,1855
236,2019
237,1977
238,2318
239,1973
240,1969
241,1966
242,1970
245,1958
246,1960
247,1964
248,1961
249,1956
250,1951
251,1940
252,1935
253,1942
254,1842
255,1946
256,1692
257,1985
258,1948
259,2143
260,1992
261,1998
262,2001
263,2000
264,1987
265,1983
266,2101
266,2103
267,2098
268,2104
269,2099
270,2100
271,1639
272,2575
273,2108
274,2095
275,2096
276,2097
277,2091
278,2134
279,2135
280,2133
281,2136
282,1782
283,1860
284,2277
285,2126
286,2127
287,2459
288,2142
289,2143
290,2140
291,2185
292,2129
293,2130
294,2122
295,2123
296,2393
297,2118
298,2118
299,2293
300,2106
301,2115
330,2063
331,2575
332,2610
333,2206
334,2070
335,2061
336,2061
337,2027
338,2032
339,2021
340,2012
341,2540
342,2260
343,2414
344,2004
345,1859
346,2086
347,2083
348,2076
349,2166
350,2159
351,2153
352,2154
353,2157
354,2175
355,2167
356,2196
357,2506
358,2198
359,2144
360,2201
361,2171
362,2173
363,2168
364,2163
365,2148
366,2146
367,2151
368,2199
369,2346
370,2192
371,1644
372,2187
373,1705
374,2183
375,1677
376,2182
377,2186
378,2169
379,2179
380,2180
381,2178
382,2277
383,1971
384,2291
384,10000007
385,2296
385,2298
386,2297
387,2296
387,10000005
388,2301
389,1644
390,2295
390,2299
