SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
1,Gudamb,Gudamb,35,0004,1,1,,0,0
2,Sona Arjun pur,Sona Arjun pur,35,0004,1,2,,0,0
3,Sambelhari,Sambelhari,35,0004,1,3,,0,0
4,Hussanpur,Hussanpur,35,0004,1,4,,0,0
5,Bhankala,Bhankala,36,0004,1,5,,0,0
6,Sherpur,Sherpur,36,0004,1,6,,0,0
7,Ghathada,Ghathada,36,0004,1,7,,0,0
8,kalarpur Gurjar,kalarpur Gurjar,36,0004,1,8,,0,0
9,Jattiya Khari,Jattiya Khari,36,0004,1,9,,0,0
10,Ahemedpur,Ahemedpur,36,0004,1,10,,0,0
11,Pahanshu,Pahanshu,37,0004,1,11,,0,0
12,Nasratpur,Nasratpur,37,0004,1,12,,0,0
13,Jandhada,Jandhada,37,0004,1,13,,0,0
14,Nain khera,Nain khera,37,0004,1,14,,0,0
15,Ambehata Chand,Ambehata Chand,37,0004,1,15,,0,0
16,Umari kala,Umari kala,38,0004,1,16,,0,0
17,Miyangi,Miyangi,38,0004,1,17,,0,0
18,Sirsali Kala,Sirsali Kala,38,0004,1,18,,0,0
19,Nadpur,Nadpur,38,0004,1,19,,0,0
20,Sahaji,Sahaji,38,0004,1,20,,0,0
21,Nagal,Nagal,39,0004,1,21,,0,0
22,Dandhera,Dandhera,39,0004,1,22,,0,0
23,Jola,Jola,39,0004,1,23,,0,0
24,Khera Mughal,Khera Mughal,39,0004,1,24,,0,0
25,Pandoli,Pandoli,39,0004,1,25,,0,0
26,Nanhera Buddha Khera,Nanhera Buddha Khera,39,0004,1,26,,0,0
27,Kutubpur Jainpur,Kutubpur Jainpur,39,0004,1,27,,0,0
28,Bilaspur,Bilaspur,39,0004,1,28,,0,0
29,Shivpur,Shivpur,39,0004,1,29,,0,0
30,Shahpur,Shahpur,40,0004,1,30,,0,0
31,Basera,Basera,40,0004,1,31,,0,0
32,Paharpur,Paharpur,40,0004,1,32,,0,0
33,Tajpur,Tajpur,40,0004,1,33,,0,0
34,Ismailpur,Ismailpur,40,0004,1,34,,0,0
35,Bachiti,Bachiti,40,0004,1,35,,0,0
36,Panyali,Panyali,40,0004,1,36,,0,0
37,Mayaheri,Mayaheri,40,0004,1,37,,0,0
38,Chandana Koli,Chandana Koli,41,0004,1,38,,0,0
39,Gangnouli,Gangnouli,41,0004,1,39,,0,0
40,Amki,Amki,41,0004,1,40,,0,0
41,Amboli,Amboli,41,0004,1,41,,0,0
42,Pired,Pired,41,0004,1,42,,0,0
43,Dharmpur Saravegi,Dharmpur Saravegi,41,0004,1,43,,0,0
44,Shitla khera,Shitla khera,41,0004,1,44,,0,0
45,Korva,Korva,42,0004,1,45,,0,0
46,Gangdaspur,Gangdaspur,42,0004,1,46,,0,0
47,Salhapur,Salhapur,42,0004,1,47,,0,0
48,Chondahari,Chondahari,42,0004,1,48,,0,0
49,Bhattol,Bhattol,42,0004,1,49,,0,0
50,Manzhol,Manzhol,42,0004,1,50,,0,0
51,Banhera,Banhera,42,0004,1,51,,0,0
52,Nanota,Nanota,43,0004,1,52,,0,0
53,Nanota 2,Nanota 2,43,0004,1,53,,0,0
54,Nanota Dehat,Nanota Dehat,43,0004,1,54,,0,0
55,Bakdoli,Bakdoli,43,0004,1,55,,0,0
56,Mora,Mora,43,0004,1,56,,0,0
57,Tilphara,Tilphara,43,0004,1,57,,0,0
58,Jadoda Panda,Jadoda Panda,43,0004,1,58,,0,0
59,Kishanpura,Kishanpura,43,0004,1,59,,0,0
60,Bhatpura,Bhatpura,43,0004,1,60,,0,0
61,Khudana,Khudana,43,0004,1,61,,0,0
62,Tikrol,Tikrol,44,0004,1,62,,0,0
63,Olraa,Olraa,44,0004,1,63,,0,0
64,Anat MAU,Anat MAU,44,0004,1,64,,0,0
65,Bhari,Bhari,44,0004,1,65,,0,0
66,Babhsi,Babhsi,44,0004,1,66,,0,0
67,Babu pura,Babu pura,44,0004,1,67,,0,0
68,Kanshipur,Kanshipur,44,0004,1,68,,0,0
69,Hangawali,Hangawali,44,0004,1,69,,0,0
70,Badgaon,Badgaon,45,0004,1,70,,0,0
71,Jhabiran,Jhabiran,45,0004,1,71,,0,0
72,Dalheri,Dalheri,45,0004,1,72,,0,0
73,Maheshpur,Maheshpur,45,0004,1,73,,0,0
74,Shimlana,Shimlana,45,0004,1,74,,0,0
75,Behra,Behra,45,0004,1,75,,0,0
76,Baloomajra,Baloomajra,45,0004,1,76,,0,0
77,Chandpur,Chandpur,45,0004,1,77,,0,0
78,Main Sub-centre-1,Main Sub-centre-1,46,0004,1,78,,0,0
79,Main Center-2,Main Center-2,46,0004,1,79,,0,0
80,Rankhandi 1,Rankhandi 1,47,0004,1,80,,0,0
81,Rankhandi 2,Rankhandi 2,47,0004,1,81,,0,0
82,Thamana,Thamana,47,0004,1,82,,0,0
83,Jakhwala,Jakhwala,47,0004,1,83,,0,0
84,Ambehata Sekh,Ambehata Sekh,47,0004,1,84,,0,0
85,Kulpeth,Kulpeth,47,0004,1,85,,0,0
86,Kuredi,Kuredi,48,0004,1,86,,0,0
87,Noonabedi,Noonabedi,48,0004,1,87,,0,0
88,Bhayala Kala,Bhayala Kala,48,0004,1,88,,0,0
89,Bhayala Khurd,Bhayala Khurd,48,0004,1,89,,0,0
90,khadi Asha,khadi Asha,48,0004,1,90,,0,0
91,Jadoda Jatt,Jadoda Jatt,49,0004,1,91,,0,0
92,Babupur,Babupur,49,0004,1,92,,0,0
93,Kurelki,Kurelki,49,0004,1,93,,0,0
94,Phetahpur,Phetahpur,49,0004,1,94,,0,0
95,Kandki,Kandki,49,0004,1,95,,0,0
96,Phoolas,Phoolas,50,0004,1,96,,0,0
97,Sapala Bakkal,Sapala Bakkal,50,0004,1,97,,0,0
98,Ransura,Ransura,50,0004,1,98,,0,0
99,Rajuour,Rajuour,50,0004,1,99,,0,0
100,Gunarasa,Gunarasa,50,0004,1,100,,0,0
101,Labkari,Labkari,50,0004,1,101,,0,0
102,Manki,Manki,50,0004,1,102,,0,0
103,Bastam,Bastam,50,0004,1,103,,0,0
104,Keranjali,Keranjali,50,0004,1,104,,0,0
105,Duggachadi,Duggachadi,50,0004,1,105,,0,0
106,Miragpur,Miragpur,50,0004,1,106,,0,0
107,Main Center-2,Main Center-2,50,0004,1,107,,0,0
108,Sikandarpur,Sikandarpur,52,0006,74,1,,0,0
109,Purmafi,Purmafi,56,0006,74,2,,0,0
110,Amvali,Amvali,53,0006,74,3,,0,0
111,Onn,Onn,51,0006,74,4,,0,0
113,Toda,Toda,51,0006,74,6,,0,0
114,Gagaur,Gagaur,51,0006,74,7,,0,0
115,Ganga Rampur,Ganga Rampur,54,0006,74,8,,0,0
116,Jhinjhana,Jhinjhana,52,0006,74,9,,0,0
118,Taprana,Taprana,52,0006,74,11,,0,0
119,Laprana,Laprana,52,0006,74,12,,0,0
120,Ved Kheri,Ved Kheri,52,0006,74,13,,0,0
121,Kertu,Kertu,53,0006,74,14,,0,0
122,Mansoora,Mansoora,52,0006,74,15,,0,0
123,Bidauli,Bidauli,53,0006,74,16,,0,0
124,Singra,Singra,53,0006,74,17,,0,0
125,Bina Mazra,Bina Mazra,53,0006,74,18,,0,0
126,Bibipur,Bibipur,53,0006,74,19,,0,0
127,hausana,hausana,54,0006,74,20,,0,0
128,Kamalpur,Kamalpur,53,0006,74,21,,0,0
129,Khodsama,Khodsama,54,0006,74,22,,0,0
130,Ballamazra,Ballamazra,54,0006,74,23,,0,0
131,Ghari Hasanpur,Ghari Hasanpur,54,0006,74,24,,0,0
132,Hathchhoya,Hathchhoya,55,0006,74,25,,0,0
133,Mundet,Mundet,55,0006,74,26,,0,0
134,Kheri Khusnam,Kheri Khusnam,51,0006,74,27,,0,0
135,Pindora,Pindora,55,0006,74,28,,0,0
136,Ghari Pukhta,Ghari Pukhta,56,0006,74,29,,0,0
137,Ghri Pukhta II,Ghri Pukhta II,56,0006,74,30,,0,0
138,Dulla Kheri,Dulla Kheri,56,0006,74,31,,0,0
139,Malendi,Malendi,56,0006,74,32,,0,0
140,Tana,Tana,56,0006,74,33,,0,0
141,Kairana dehat,Kairana dehat,57,0006,74,34,,0,0
142,Ramda Tapan,Ramda Tapan,59,0006,74,35,,0,0
143,Malakpur,Malakpur,59,0006,74,36,,0,0
144,Sunehti,Sunehti,59,0006,74,37,,0,0
145,Shekhupura,Shekhupura,58,0006,74,38,,0,0
146,Kaserwa kalan,Kaserwa kalan,58,0006,74,39,,0,0
147,KaserwaKhurd,KaserwaKhurd,58,0006,74,40,,0,0
148,Titauli,Titauli,58,0006,74,41,,0,0
149,Badhev,Badhev,58,0006,74,42,,0,0
150,Bhoora,Bhoora,59,0006,74,43,,0,0
151,Pawti kalan,Pawti kalan,59,0006,74,44,,0,0
152,Barala,Barala,59,0006,74,45,,0,0
153,Uncha gaon,Uncha gaon,60,0006,74,46,,0,0
154,Aldi,Aldi,60,0006,74,47,,0,0
155,Khandravli,Khandravli,60,0006,74,48,,0,0
156,Beenda,Beenda,60,0006,74,49,,0,0
157,Artee,Artee,60,0006,74,50,,0,0
158,Titarwara,Titarwara,61,0006,74,51,,0,0
159,ssopurteel,ssopurteel,61,0006,74,52,,0,0
160,Dundukhera,Dundukhera,61,0006,74,53,,0,0
161,Buchakheri,Buchakheri,61,0006,74,54,,0,0
162,Mavi,Mavi,61,0006,74,55,,0,0
163,Chandena Mal,Chandena Mal,62,0007,74,1,,0,0
